Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Klaster
ACEH,Simeulue,1648096,0
ACEH,Aceh Singkil,1780419,0
ACEH,Aceh Selatan,4345784,0
ACEH,Aceh Tenggara,3487157,0
ACEH,Aceh Timur,8433526,0
ACEH,Aceh Tengah,5953118,0
ACEH,Aceh Barat,7485861,0
ACEH,Aceh Besar,10261585,0
ACEH,Pidie,7975099,0
ACEH,Bireuen,10374480,0
ACEH,Aceh Utara,16924103,0
ACEH,Aceh Barat Daya,3069805,0
ACEH,Gayo Lues,1981879,0
ACEH,Aceh Tamiang,6062520,0
ACEH,Nagan Raya,7110421,0
ACEH,Aceh Jaya,2033844,0
ACEH,Bener Meriah,3744095,0
ACEH,Pidie Jaya,2635517,0
ACEH,Kota Banda Aceh,15454371,0
ACEH,Kota Sabang,1152875,0
ACEH,Kota Langsa,3974614,0
ACEH,Kota Lhokseumawe,7252905,0
ACEH,Kota Subulussalam,1438997,0
SUMATERA UTARA,Nias,2666855,0
SUMATERA UTARA,Mandailing Natal,9585899,0
SUMATERA UTARA,Tapanuli Selatan,10036712,0
SUMATERA UTARA,Tapanuli Tengah,7149285,0
SUMATERA UTARA,Tapanuli Utara,6058350,0
SUMATERA UTARA,Toba Samosir,5649103,0
SUMATERA UTARA,Labuhan Batu,24147560,0
SUMATERA UTARA,Asahan,27279586,0
SUMATERA UTARA,Simalungun,28648781,0
SUMATERA UTARA,Dairi,6641674,0
SUMATERA UTARA,Karo,14582333,0
SUMATERA UTARA,Deli Serdang,72173623,2
SUMATERA UTARA,Langkat,30247389,0
SUMATERA UTARA,Nias Selatan,4332626,0
SUMATERA UTARA,Humbang Hasundutan,4219138,0
SUMATERA UTARA,Pakpak Bharat,872403,0
SUMATERA UTARA,Samosir,3162101,0
SUMATERA UTARA,Serdang Bedagai,19863243,0
SUMATERA UTARA,Batu Bara,24486056,0
SUMATERA UTARA,Padang Lawas Utara,8593639,0
SUMATERA UTARA,Padang Lawas,8362135,0
SUMATERA UTARA,Labuhan Batu Selatan,19620408,0
SUMATERA UTARA,Labuhan Batu Utara,17969257,0
SUMATERA UTARA,Nias Utara,2417196,0
SUMATERA UTARA,Nias Barat,1285664,0
SUMATERA UTARA,Kota Sibolga,3595704,0
SUMATERA UTARA,Kota Tanjung Balai,5898808,0
SUMATERA UTARA,Kota Pematang Siantar,9547698,0
