Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Klaster
ACEH,Simeulue,5.71,2
ACEH,Aceh Singkil,8.36,1
ACEH,Aceh Selatan,6.46,2
ACEH,Aceh Tenggara,6.43,2
ACEH,Aceh Timur,7.13,2
ACEH,Aceh Tengah,2.61,0
ACEH,Aceh Barat,7.09,2
ACEH,Aceh Besar,7.7,1
ACEH,Pidie,7.28,2
ACEH,Bireuen,4.32,2
ACEH,Aceh Utara,8.31,1
ACEH,Aceh Barat Daya,4.04,0
ACEH,Gayo Lues,1.84,0
ACEH,Aceh Tamiang,5.87,2
ACEH,Nagan Raya,4.99,2
ACEH,Aceh Jaya,3.47,0
ACEH,Bener Meriah,1.24,0
ACEH,Pidie Jaya,3.57,0
ACEH,Kota Banda Aceh,8.94,1
ACEH,Kota Sabang,3.56,0
ACEH,Kota Langsa,7.21,2
ACEH,Kota Lhokseumawe,11.16,1
ACEH,Kota Subulussalam,6.26,2
SUMATERA UTARA,Nias,3.12,0
SUMATERA UTARA,Mandailing Natal,6.12,2
SUMATERA UTARA,Tapanuli Selatan,4.0,0
SUMATERA UTARA,Tapanuli Tengah,7.24,2
SUMATERA UTARA,Tapanuli Utara,1.54,0
SUMATERA UTARA,Toba Samosir,0.83,0
SUMATERA UTARA,Labuhan Batu,5.66,2
SUMATERA UTARA,Asahan,6.39,2
SUMATERA UTARA,Simalungun,4.17,0
SUMATERA UTARA,Dairi,1.49,0
SUMATERA UTARA,Karo,1.95,0
SUMATERA UTARA,Deli Serdang,9.13,1
SUMATERA UTARA,Langkat,5.12,2
SUMATERA UTARA,Nias Selatan,3.91,0
SUMATERA UTARA,Humbang Hasundutan,1.94,0
SUMATERA UTARA,Pakpak Bharat,1.36,0
SUMATERA UTARA,Samosir,0.7,0
SUMATERA UTARA,Serdang Bedagai,3.93,0
SUMATERA UTARA,Batu Bara,6.62,2
SUMATERA UTARA,Padang Lawas Utara,3.19,0
SUMATERA UTARA,Padang Lawas,4.07,0
SUMATERA UTARA,Labuhan Batu Selatan,4.71,2
SUMATERA UTARA,Labuhan Batu Utara,5.74,2
SUMATERA UTARA,Nias Utara,3.0,0
SUMATERA UTARA,Nias Barat,0.74,0
SUMATERA UTARA,Kota Sibolga,8.72,1
SUMATERA UTARA,Kota Tanjung Balai,6.59,2
SUMATERA UTARA,Kota Pematang Siantar,11.0,1
SUMATERA UTARA,Kota Tebing Tinggi,8.37,1
SUMATERA UTARA,Kota Medan,10.81,1
SUMATERA UTARA,Kota Binjai,7.86,1
SUMATERA UTARA,Kota Padangsidimpuan,7.18,2
SUMATERA UTARA,Kota Gunungsitoli,4.8,2
SUMATERA BARAT,Kepulauan Mentawai,2.79,0
SUMATERA BARAT,Pesisir Selatan,5.97,2
SUMATERA BARAT,Solok,4.67,2
SUMATERA BARAT,Sijunjung,3.57,0
SUMATERA BARAT,Tanah Datar,4.63,2
SUMATERA BARAT,Padang Pariaman,8.41,1
SUMATERA BARAT,Agam,5.06,2
SUMATERA BARAT,Lima Puluh Kota,2.25,0
SUMATERA BARAT,Pasaman,4.92,2
SUMATERA BARAT,Solok Selatan,4.84,2
SUMATERA BARAT,Dharmasraya,5.0,2
SUMATERA BARAT,Pasaman Barat,5.02,2
SUMATERA BARAT,Kota Padang,13.37,1
SUMATERA BARAT,Kota Solok,5.15,2
SUMATERA BARAT,Kota Sawah Lunto,6.38,2
SUMATERA BARAT,Kota Padang Panjang,4.9,2
SUMATERA BARAT,Kota Bukittinggi,6.09,2
SUMATERA BARAT,Kota Payakumbuh,6.47,2
SUMATERA BARAT,Kota Pariaman,6.09,2
RIAU,Kuantan Singingi,2.06,0
RIAU,Indragiri Hulu,3.32,0
RIAU,Indragiri Hilir,2.66,0
RIAU,Pelalawan,2.34,0
RIAU,Siak,4.34,2
RIAU,Kampar,4.27,2
RIAU,Rokan Hulu,2.25,0
RIAU,Bengkalis,6.63,2
RIAU,Rokan Hilir,3.25,0
RIAU,Kepulauan Meranti,4.43,2
RIAU,Kota Pekanbaru,8.29,1
RIAU,Kota Dumai,6.29,2
JAMBI,Kerinci,2.32,0
JAMBI,Merangin,4.83,2
JAMBI,Sarolangun,5.52,2
JAMBI,Batang Hari,4.26,2
JAMBI,Muaro Jambi,5.59,2
JAMBI,Tanjung Jabung Timur,1.56,0
JAMBI,Tanjung Jabung Barat,2.53,0
JAMBI,Tebo,2.83,0
JAMBI,Bungo,5.86,2
JAMBI,Kota Jambi,10.66,1
JAMBI,Kota Sungai Penuh,3.0,0
SUMATERA SELATAN,Ogan Komering Ulu,4.57,2
SUMATERA SELATAN,Ogan Komering Ilir,3.01,0
SUMATERA SELATAN,Muara Enim,5.03,2
SUMATERA SELATAN,Lahat,3.6,0
SUMATERA SELATAN,Musi Rawas,2.78,0
SUMATERA SELATAN,Musi Banyuasin,3.99,0
SUMATERA SELATAN,Banyu Asin,3.84,0
SUMATERA SELATAN,Ogan Komering Ulu Selatan,3.23,0
SUMATERA SELATAN,Ogan Komering Ulu Timur,3.18,0
SUMATERA SELATAN,Ogan Ilir,3.07,0
SUMATERA SELATAN,Empat Lawang,2.41,0
SUMATERA SELATAN,Penukal Abab Lematang Ilir,3.61,0
SUMATERA SELATAN,Musi Rawas Utara,6.72,2
SUMATERA SELATAN,Kota Palembang,10.11,1
SUMATERA SELATAN,Kota Prabumulih,5.86,2
SUMATERA SELATAN,Kota Pagar Alam,1.64,0
SUMATERA SELATAN,Kota Lubuklinggau,6.27,2
BENGKULU,Bengkulu Selatan,2.55,0
BENGKULU,Rejang Lebong,2.45,0
BENGKULU,Bengkulu Utara,3.51,0
BENGKULU,Kaur,3.45,0
BENGKULU,Seluma,3.44,0
BENGKULU,Mukomuko,3.68,0
BENGKULU,Lebong,3.18,0
BENGKULU,Kepahiang,1.89,0
BENGKULU,Bengkulu Tengah,4.07,0
BENGKULU,Kota Bengkulu,6.35,2
LAMPUNG,Lampung Barat,2.83,0
LAMPUNG,Tanggamus,2.93,0
LAMPUNG,Lampung Selatan,5.27,2
LAMPUNG,Lampung Timur,3.05,0
LAMPUNG,Lampung Tengah,4.31,2
LAMPUNG,Lampung Utara,6.14,2
LAMPUNG,Way Kanan,3.36,0
LAMPUNG,Tulangbawang,4.1,0
LAMPUNG,Pesawaran,4.19,0
LAMPUNG,Pringsewu,4.85,2
LAMPUNG,Mesuji,3.42,0
LAMPUNG,Tulang Bawang Barat,3.35,0
LAMPUNG,Pesisir Barat,3.08,0
LAMPUNG,Kota Bandar Lampung,8.85,1
LAMPUNG,Kota Metro,5.0,2
KEP. BANGKA BELITUNG,Bangka,5.97,2
KEP. BANGKA BELITUNG,Belitung,3.51,0
KEP. BANGKA BELITUNG,Bangka Barat,3.83,0
KEP. BANGKA BELITUNG,Bangka Tengah,4.95,2
KEP. BANGKA BELITUNG,Bangka Selatan,5.29,2
KEP. BANGKA BELITUNG,Belitung Timur,3.78,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,6.81,2
KEPULAUAN RIAU,Karimun,7.2,2
KEPULAUAN RIAU,Bintan,8.62,1
KEPULAUAN RIAU,Natuna,5.15,2
KEPULAUAN RIAU,Lingga,4.23,2
KEPULAUAN RIAU,Kepulauan Anambas,1.27,0
KEPULAUAN RIAU,Kota Batam,11.64,1
KEPULAUAN RIAU,Kota Tanjung Pinang,6.31,2
DKI JAKARTA,Kepulauan Seribu,8.58,1
DKI JAKARTA,Kota Jakarta Selatan,7.33,2
DKI JAKARTA,Kota Jakarta Timur,8.23,1
DKI JAKARTA,Kota Jakarta Pusat,7.75,1
DKI JAKARTA,Kota Jakarta Barat,9.06,1
DKI JAKARTA,Kota Jakarta Utara,9.84,1
JAWA BARAT,Bogor,12.22,1
JAWA BARAT,Sukabumi,9.51,1
JAWA BARAT,Cianjur,9.32,1
JAWA BARAT,Bandung,8.32,1
JAWA BARAT,Garut,8.68,1
JAWA BARAT,Tasikmalaya,6.16,2
JAWA BARAT,Ciamis,5.06,2
JAWA BARAT,Kuningan,11.68,1
JAWA BARAT,Cirebon,10.38,1
JAWA BARAT,Majalengka,5.71,2
JAWA BARAT,Sumedang,9.18,1
JAWA BARAT,Indramayu,8.3,1
JAWA BARAT,Subang,9.77,1
JAWA BARAT,Purwakarta,10.7,1
JAWA BARAT,Karawang,11.83,1
JAWA BARAT,Bekasi,10.09,1
JAWA BARAT,Bandung Barat,11.65,1
JAWA BARAT,Pangandaran,3.25,0
JAWA BARAT,Kota Bogor,11.79,1
JAWA BARAT,Kota Sukabumi,10.78,1
JAWA BARAT,Kota Bandung,11.46,1
JAWA BARAT,Kota Cirebon,10.53,1
JAWA BARAT,Kota Bekasi,10.88,1
JAWA BARAT,Kota Depok,9.76,1
JAWA BARAT,Kota Cimahi,13.07,1
JAWA BARAT,Kota Tasikmalaya,7.66,1
JAWA BARAT,Kota Banjar,6.09,2
JAWA TENGAH,Cilacap,9.97,1
JAWA TENGAH,Banyumas,6.05,2
JAWA TENGAH,Purbalingga,6.05,2
JAWA TENGAH,Banjarnegara,5.86,2
JAWA TENGAH,Kebumen,6.03,2
JAWA TENGAH,Purworejo,3.59,0
JAWA TENGAH,Wonosobo,5.26,2
JAWA TENGAH,Magelang,5.03,2
JAWA TENGAH,Boyolali,5.09,2
JAWA TENGAH,Klaten,5.48,2
JAWA TENGAH,Sukoharjo,3.32,0
JAWA TENGAH,Wonogiri,2.43,0
JAWA TENGAH,Karanganyar,5.89,2
JAWA TENGAH,Sragen,4.76,2
JAWA TENGAH,Grobogan,4.38,2
JAWA TENGAH,Blora,3.81,0
JAWA TENGAH,Rembang,3.67,0
JAWA TENGAH,Pati,4.6,2
