Provinsi,Kab/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
ACEH,Simeulue,18.98,0
ACEH,Aceh Singkil,20.36,0
ACEH,Aceh Selatan,13.18,0
ACEH,Aceh Tenggara,13.41,0
ACEH,Aceh Timur,14.45,0
ACEH,Aceh Tengah,15.26,0
ACEH,Aceh Barat,18.81,0
ACEH,Aceh Besar,14.05,0
ACEH,Pidie,19.59,0
ACEH,Bireuen,13.25,0
ACEH,Aceh Utara,17.43,0
ACEH,Aceh Barat Daya,16.34,0
ACEH,Gayo Lues,19.64,0
ACEH,Aceh Tamiang,13.34,0
ACEH,Nagan Raya,18.23,0
ACEH,Aceh Jaya,13.23,0
ACEH,Bener Meriah,19.16,0
ACEH,Pidie Jaya,19.55,0
ACEH,Kota Banda Aceh,7.61,2
ACEH,Kota Sabang,15.32,0
ACEH,Kota Langsa,10.96,0
ACEH,Kota Lhokseumawe,11.16,0
ACEH,Kota Subulussalam,17.65,0
SUMATERA UTARA,Nias,16.82,0
SUMATERA UTARA,Mandailing Natal,9.49,2
SUMATERA UTARA,Tapanuli Selatan,8.8,2
SUMATERA UTARA,Tapanuli Tengah,12.67,0
SUMATERA UTARA,Tapanuli Utara,9.72,2
SUMATERA UTARA,Toba Samosir,8.99,2
SUMATERA UTARA,Labuhan Batu,8.74,2
SUMATERA UTARA,Asahan,9.35,2
SUMATERA UTARA,Simalungun,8.81,2
SUMATERA UTARA,Dairi,8.31,2
SUMATERA UTARA,Karo,8.79,2
SUMATERA UTARA,Deli Serdang,4.01,2
SUMATERA UTARA,Langkat,10.12,2
SUMATERA UTARA,Nias Selatan,16.92,0
SUMATERA UTARA,Humbang Hasundutan,9.65,2
SUMATERA UTARA,Pakpak Bharat,9.35,2
SUMATERA UTARA,Samosir,12.68,0
SUMATERA UTARA,Serdang Bedagai,8.3,2
SUMATERA UTARA,Batu Bara,12.38,0
SUMATERA UTARA,Padang Lawas Utara,9.92,2
SUMATERA UTARA,Padang Lawas,8.69,2
SUMATERA UTARA,Labuhan Batu Selatan,8.53,2
SUMATERA UTARA,Labuhan Batu Utara,10.02,2
SUMATERA UTARA,Nias Utara,25.66,1
SUMATERA UTARA,Nias Barat,26.42,1
SUMATERA UTARA,Kota Sibolga,12.33,0
SUMATERA UTARA,Kota Tanjung Balai,13.4,0
SUMATERA UTARA,Kota Pematang Siantar,8.52,2
SUMATERA UTARA,Kota Tebing Tinggi,10.3,2
SUMATERA UTARA,Kota Medan,8.34,2
SUMATERA UTARA,Kota Binjai,5.81,2
SUMATERA UTARA,Kota Padangsidimpuan,7.53,2
SUMATERA UTARA,Kota Gunungsitoli,16.45,0
SUMATERA BARAT,Kepulauan Mentawai,14.84,0
SUMATERA BARAT,Pesisir Selatan,7.92,2
SUMATERA BARAT,Solok,8.01,2
SUMATERA BARAT,Sijunjung,6.8,2
SUMATERA BARAT,Tanah Datar,4.54,2
SUMATERA BARAT,Padang Pariaman,7.22,2
SUMATERA BARAT,Agam,6.85,2
SUMATERA BARAT,Lima Puluh Kota,7.29,2
