Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Klaster
ACEH,Simeulue,1648096,5.71,0
ACEH,Aceh Singkil,1780419,8.36,1
ACEH,Aceh Selatan,4345784,6.46,1
ACEH,Aceh Tenggara,3487157,6.43,1
ACEH,Aceh Timur,8433526,7.13,1
ACEH,Aceh Tengah,5953118,2.61,0
ACEH,Aceh Barat,7485861,7.09,1
ACEH,Aceh Besar,10261585,7.7,1
ACEH,Pidie,7975099,7.28,1
ACEH,Bireuen,10374480,4.32,0
ACEH,Aceh Utara,16924103,8.31,1
ACEH,Aceh Barat Daya,3069805,4.04,0
ACEH,Gayo Lues,1981879,1.84,0
ACEH,Aceh Tamiang,6062520,5.87,0
ACEH,Nagan Raya,7110421,4.99,0
ACEH,Aceh Jaya,2033844,3.47,0
ACEH,Bener Meriah,3744095,1.24,0
ACEH,Pidie Jaya,2635517,3.57,0
ACEH,Kota Banda Aceh,15454371,8.94,1
ACEH,Kota Sabang,1152875,3.56,0
ACEH,Kota Langsa,3974614,7.21,1
ACEH,Kota Lhokseumawe,7252905,11.16,1
ACEH,Kota Subulussalam,1438997,6.26,0
SUMATERA UTARA,Nias,2666855,3.12,0
SUMATERA UTARA,Mandailing Natal,9585899,6.12,0
SUMATERA UTARA,Tapanuli Selatan,10036712,4.0,0
SUMATERA UTARA,Tapanuli Tengah,7149285,7.24,1
SUMATERA UTARA,Tapanuli Utara,6058350,1.54,0
SUMATERA UTARA,Toba Samosir,5649103,0.83,0
SUMATERA UTARA,Labuhan Batu,24147560,5.66,0
SUMATERA UTARA,Asahan,27279586,6.39,1
SUMATERA UTARA,Simalungun,28648781,4.17,0
SUMATERA UTARA,Dairi,6641674,1.49,0
SUMATERA UTARA,Karo,14582333,1.95,0
SUMATERA UTARA,Deli Serdang,72173623,9.13,1
SUMATERA UTARA,Langkat,30247389,5.12,0
SUMATERA UTARA,Nias Selatan,4332626,3.91,0
SUMATERA UTARA,Humbang Hasundutan,4219138,1.94,0
SUMATERA UTARA,Pakpak Bharat,872403,1.36,0
SUMATERA UTARA,Samosir,3162101,0.7,0
SUMATERA UTARA,Serdang Bedagai,19863243,3.93,0
SUMATERA UTARA,Batu Bara,24486056,6.62,1
SUMATERA UTARA,Padang Lawas Utara,8593639,3.19,0
SUMATERA UTARA,Padang Lawas,8362135,4.07,0
SUMATERA UTARA,Labuhan Batu Selatan,19620408,4.71,0
SUMATERA UTARA,Labuhan Batu Utara,17969257,5.74,0
SUMATERA UTARA,Nias Utara,2417196,3.0,0
SUMATERA UTARA,Nias Barat,1285664,0.74,0
SUMATERA UTARA,Kota Sibolga,3595704,8.72,1
SUMATERA UTARA,Kota Tanjung Balai,5898808,6.59,1
SUMATERA UTARA,Kota Pematang Siantar,9547698,11.0,1
SUMATERA UTARA,Kota Tebing Tinggi,4024777,8.37,1
SUMATERA UTARA,Kota Medan,157689187,10.81,1
SUMATERA UTARA,Kota Binjai,8162776,7.86,1
SUMATERA UTARA,Kota Padangsidimpuan,4346777,7.18,1
SUMATERA UTARA,Kota Gunungsitoli,3519128,4.8,0
SUMATERA BARAT,Kepulauan Mentawai,3041549,2.79,0
SUMATERA BARAT,Pesisir Selatan,9790360,5.97,0
SUMATERA BARAT,Solok,10119822,4.67,0
SUMATERA BARAT,Sijunjung,6893214,3.57,0
SUMATERA BARAT,Tanah Datar,9891020,4.63,0
SUMATERA BARAT,Padang Pariaman,12199848,8.41,1
SUMATERA BARAT,Agam,14939509,5.06,0
SUMATERA BARAT,Lima Puluh Kota,11430548,2.25,0
SUMATERA BARAT,Pasaman,6330067,4.92,0
SUMATERA BARAT,Solok Selatan,4059515,4.84,0
SUMATERA BARAT,Dharmasraya,7709700,5.0,0
SUMATERA BARAT,Pasaman Barat,11682234,5.02,0
SUMATERA BARAT,Kota Padang,45227957,13.37,1
SUMATERA BARAT,Kota Solok,2936828,5.15,0
SUMATERA BARAT,Kota Sawah Lunto,2829590,6.38,0
SUMATERA BARAT,Kota Padang Panjang,2631518,4.9,0
