Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
ACEH,Simeulue,1648096,18.98,2
ACEH,Aceh Singkil,1780419,20.36,2
ACEH,Aceh Selatan,4345784,13.18,0
ACEH,Aceh Tenggara,3487157,13.41,0
ACEH,Aceh Timur,8433526,14.45,0
ACEH,Aceh Tengah,5953118,15.26,0
ACEH,Aceh Barat,7485861,18.81,2
ACEH,Aceh Besar,10261585,14.05,0
ACEH,Pidie,7975099,19.59,2
ACEH,Bireuen,10374480,13.25,0
ACEH,Aceh Utara,16924103,17.43,0
ACEH,Aceh Barat Daya,3069805,16.34,0
ACEH,Gayo Lues,1981879,19.64,2
ACEH,Aceh Tamiang,6062520,13.34,0
ACEH,Nagan Raya,7110421,18.23,2
ACEH,Aceh Jaya,2033844,13.23,0
ACEH,Bener Meriah,3744095,19.16,2
ACEH,Pidie Jaya,2635517,19.55,2
ACEH,Kota Banda Aceh,15454371,7.61,0
ACEH,Kota Sabang,1152875,15.32,0
ACEH,Kota Langsa,3974614,10.96,0
ACEH,Kota Lhokseumawe,7252905,11.16,0
ACEH,Kota Subulussalam,1438997,17.65,0
SUMATERA UTARA,Nias,2666855,16.82,0
SUMATERA UTARA,Mandailing Natal,9585899,9.49,0
SUMATERA UTARA,Tapanuli Selatan,10036712,8.8,0
SUMATERA UTARA,Tapanuli Tengah,7149285,12.67,0
SUMATERA UTARA,Tapanuli Utara,6058350,9.72,0
SUMATERA UTARA,Toba Samosir,5649103,8.99,0
SUMATERA UTARA,Labuhan Batu,24147560,8.74,0
SUMATERA UTARA,Asahan,27279586,9.35,0
SUMATERA UTARA,Simalungun,28648781,8.81,0
SUMATERA UTARA,Dairi,6641674,8.31,0
SUMATERA UTARA,Karo,14582333,8.79,0
SUMATERA UTARA,Deli Serdang,72173623,4.01,0
SUMATERA UTARA,Langkat,30247389,10.12,0
SUMATERA UTARA,Nias Selatan,4332626,16.92,0
SUMATERA UTARA,Humbang Hasundutan,4219138,9.65,0
SUMATERA UTARA,Pakpak Bharat,872403,9.35,0
SUMATERA UTARA,Samosir,3162101,12.68,0
SUMATERA UTARA,Serdang Bedagai,19863243,8.3,0
SUMATERA UTARA,Batu Bara,24486056,12.38,0
SUMATERA UTARA,Padang Lawas Utara,8593639,9.92,0
SUMATERA UTARA,Padang Lawas,8362135,8.69,0
SUMATERA UTARA,Labuhan Batu Selatan,19620408,8.53,0
SUMATERA UTARA,Labuhan Batu Utara,17969257,10.02,0
SUMATERA UTARA,Nias Utara,2417196,25.66,2
SUMATERA UTARA,Nias Barat,1285664,26.42,2
SUMATERA UTARA,Kota Sibolga,3595704,12.33,0
SUMATERA UTARA,Kota Tanjung Balai,5898808,13.4,0
SUMATERA UTARA,Kota Pematang Siantar,9547698,8.52,0
SUMATERA UTARA,Kota Tebing Tinggi,4024777,10.3,0
SUMATERA UTARA,Kota Medan,157689187,8.34,0
SUMATERA UTARA,Kota Binjai,8162776,5.81,0
SUMATERA UTARA,Kota Padangsidimpuan,4346777,7.53,0
SUMATERA UTARA,Kota Gunungsitoli,3519128,16.45,0
SUMATERA BARAT,Kepulauan Mentawai,3041549,14.84,0
SUMATERA BARAT,Pesisir Selatan,9790360,7.92,0
SUMATERA BARAT,Solok,10119822,8.01,0
SUMATERA BARAT,Sijunjung,6893214,6.8,0
SUMATERA BARAT,Tanah Datar,9891020,4.54,0
SUMATERA BARAT,Padang Pariaman,12199848,7.22,0
SUMATERA BARAT,Agam,14939509,6.85,0
SUMATERA BARAT,Lima Puluh Kota,11430548,7.29,0
SUMATERA BARAT,Pasaman,6330067,7.48,0
SUMATERA BARAT,Solok Selatan,4059515,7.52,0
SUMATERA BARAT,Dharmasraya,7709700,6.67,0
SUMATERA BARAT,Pasaman Barat,11682234,7.51,0
SUMATERA BARAT,Kota Padang,45227957,4.94,0
SUMATERA BARAT,Kota Solok,2936828,3.12,0
SUMATERA BARAT,Kota Sawah Lunto,2829590,2.38,0
SUMATERA BARAT,Kota Padang Panjang,2631518,5.92,0
SUMATERA BARAT,Kota Bukittinggi,6263130,5.14,0
SUMATERA BARAT,Kota Payakumbuh,4571927,6.16,0
SUMATERA BARAT,Kota Pariaman,3669629,4.38,0
RIAU,Kuantan Singingi,24689509,8.97,0
RIAU,Indragiri Hulu,31176538,6.18,0
RIAU,Indragiri Hilir,46921264,6.18,0
RIAU,Pelalawan,36538811,9.63,0
RIAU,Siak,54543286,5.18,0
RIAU,Kampar,53196375,7.82,0
RIAU,Rokan Hulu,26752468,10.4,0
RIAU,Bengkalis,74229737,6.64,0
RIAU,Rokan Hilir,46761280,7.18,0
RIAU,Kepulauan Meranti,13008808,25.68,2
RIAU,Kota Pekanbaru,72619083,2.83,0
RIAU,Kota Dumai,26068578,3.42,0
JAMBI,Kerinci,6844238,7.71,0
JAMBI,Merangin,10371678,9.11,0
JAMBI,Sarolangun,11397733,8.87,0
JAMBI,Batang Hari,12221193,10.05,0
JAMBI,Muaro Jambi,16847013,4.53,0
JAMBI,Tanjung Jabung Timur,17284926,11.39,0
JAMBI,Tanjung Jabung Barat,30976199,10.75,0
JAMBI,Tebo,10597493,6.68,0
JAMBI,Bungo,13133523,6.23,0
JAMBI,Kota Jambi,19515486,9.02,0
JAMBI,Kota Sungai Penuh,4768840,3.41,0
SUMATERA SELATAN,Ogan Komering Ulu,10114558,12.62,0
SUMATERA SELATAN,Ogan Komering Ilir,20909479,14.68,0
SUMATERA SELATAN,Muara Enim,43987266,12.32,0
SUMATERA SELATAN,Lahat,13002365,16.46,0
SUMATERA SELATAN,Musi Rawas,14032621,13.89,0
SUMATERA SELATAN,Musi Banyuasin,46128391,15.84,0
SUMATERA SELATAN,Banyu Asin,20767642,10.75,0
SUMATERA SELATAN,Ogan Komering Ulu Selatan,5985137,11.12,0
SUMATERA SELATAN,Ogan Komering Ulu Timur,10551001,10.6,0
SUMATERA SELATAN,Ogan Ilir,7775123,13.82,0
SUMATERA SELATAN,Empat Lawang,3605939,13.35,0
SUMATERA SELATAN,Penukal Abab Lematang Ilir,4819885,12.91,0
SUMATERA SELATAN,Musi Rawas Utara,5706543,20.11,2
SUMATERA SELATAN,Kota Palembang,107250192,11.34,0
SUMATERA SELATAN,Kota Prabumulih,5541968,12.2,0
SUMATERA SELATAN,Kota Pagar Alam,2332447,9.4,0
SUMATERA SELATAN,Kota Lubuklinggau,4470232,13.23,0
BENGKULU,Bengkulu Selatan,3742506,18.16,2
BENGKULU,Rejang Lebong,6274229,15.85,0
BENGKULU,Bengkulu Utara,5425357,11.61,0
BENGKULU,Kaur,2333305,18.62,2
BENGKULU,Seluma,2932955,18.72,2
BENGKULU,Mukomuko,3429923,11.93,0
BENGKULU,Lebong,2192263,12.0,0
BENGKULU,Kepahiang,2894350,14.83,0
BENGKULU,Bengkulu Tengah,2951442,9.68,0
BENGKULU,Kota Bengkulu,15833195,17.89,0
LAMPUNG,Lampung Barat,5053324,12.82,0
LAMPUNG,Tanggamus,10924782,11.81,0
LAMPUNG,Lampung Selatan,30541213,14.19,0
LAMPUNG,Lampung Timur,29000404,15.08,0
LAMPUNG,Lampung Tengah,48710038,11.99,0
LAMPUNG,Lampung Utara,16727892,19.63,2
LAMPUNG,Way Kanan,9736500,13.09,0
LAMPUNG,Tulangbawang,16062917,9.67,0
LAMPUNG,Pesawaran,11492493,15.11,0
LAMPUNG,Pringsewu,7870162,10.11,0
LAMPUNG,Mesuji,7107313,7.54,0
LAMPUNG,Tulang Bawang Barat,7970781,8.32,0
LAMPUNG,Pesisir Barat,3133190,14.81,0
LAMPUNG,Kota Bandar Lampung,39818098,9.11,0
LAMPUNG,Kota Metro,4358386,8.93,0
KEP. BANGKA BELITUNG,Bangka,10733700,4.81,0
KEP. BANGKA BELITUNG,Belitung,6710007,7.15,0
KEP. BANGKA BELITUNG,Bangka Barat,10331789,2.75,0
KEP. BANGKA BELITUNG,Bangka Tengah,5986898,5.13,0
KEP. BANGKA BELITUNG,Bangka Selatan,6275555,3.69,0
KEP. BANGKA BELITUNG,Belitung Timur,5713650,7.2,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,9611883,4.76,0
KEPULAUAN RIAU,Karimun,9332771,6.85,0
KEPULAUAN RIAU,Bintan,13933491,6.42,0
KEPULAUAN RIAU,Natuna,14645400,4.95,0
KEPULAUAN RIAU,Lingga,2971547,13.93,0
KEPULAUAN RIAU,Kepulauan Anambas,11108487,7.09,0
KEPULAUAN RIAU,Kota Batam,111068955,5.05,0
KEPULAUAN RIAU,Kota Tanjung Pinang,14020211,9.57,0
DKI JAKARTA,Kepulauan Seribu,3649179,15.06,0
DKI JAKARTA,Kota Jakarta Selatan,429398830,3.56,1
DKI JAKARTA,Kota Jakarta Timur,313842135,4.28,1
DKI JAKARTA,Kota Jakarta Pusat,460081046,4.94,1
DKI JAKARTA,Kota Jakarta Barat,327622101,4.31,1
DKI JAKARTA,Kota Jakarta Utara,330894597,7.24,1
JAWA BARAT,Bogor,159582645,8.13,0
JAWA BARAT,Sukabumi,47933519,7.7,0
JAWA BARAT,Cianjur,32897517,11.18,0
JAWA BARAT,Bandung,83947149,7.15,0
JAWA BARAT,Garut,39981191,10.65,0
JAWA BARAT,Tasikmalaya,25179475,11.15,0
JAWA BARAT,Ciamis,22774934,7.97,0
JAWA BARAT,Kuningan,17483024,13.1,0
JAWA BARAT,Cirebon,34128554,12.3,0
JAWA BARAT,Majalengka,22788754,12.33,0
JAWA BARAT,Sumedang,24414663,10.71,0
JAWA BARAT,Indramayu,59544866,13.04,0
JAWA BARAT,Subang,29023194,10.03,0
JAWA BARAT,Purwakarta,46840149,8.83,0
JAWA BARAT,Karawang,166941492,8.95,0
JAWA BARAT,Bekasi,251828575,5.21,1
JAWA BARAT,Bandung Barat,31701786,11.3,0
JAWA BARAT,Pangandaran,8022781,9.65,0
JAWA BARAT,Kota Bogor,33372476,7.24,0
JAWA BARAT,Kota Sukabumi,8851051,8.25,0
JAWA BARAT,Kota Bandung,200414035,4.37,1
JAWA BARAT,Kota Cirebon,17154552,10.03,0
JAWA BARAT,Kota Bekasi,69796936,4.74,0
JAWA BARAT,Kota Depok,49946927,2.58,0
JAWA BARAT,Kota Cimahi,23275779,5.35,0
JAWA BARAT,Kota Tasikmalaya,15981251,13.13,0
JAWA BARAT,Kota Banjar,3364261,7.11,0
JAWA TENGAH,Cilacap,91944588,11.67,0
JAWA TENGAH,Banyumas,40686808,13.66,0
JAWA TENGAH,Purbalingga,17731438,16.24,0
JAWA TENGAH,Banjarnegara,15536478,16.23,0
JAWA TENGAH,Kebumen,20253059,17.83,0
JAWA TENGAH,Purworejo,13582556,12.4,0
JAWA TENGAH,Wonosobo,14064765,17.67,0
JAWA TENGAH,Magelang,23661713,11.91,0
JAWA TENGAH,Boyolali,23447366,10.62,0
JAWA TENGAH,Klaten,28531109,13.49,0
JAWA TENGAH,Sukoharjo,27634118,8.23,0
JAWA TENGAH,Wonogiri,21251004,11.55,0
JAWA TENGAH,Karanganyar,27034108,10.68,0
JAWA TENGAH,Sragen,27355146,13.83,0
JAWA TENGAH,Grobogan,20115534,12.74,0
JAWA TENGAH,Blora,18126447,12.39,0
JAWA TENGAH,Rembang,13925516,15.8,0
JAWA TENGAH,Pati,31559079,10.21,0
JAWA TENGAH,Kudus,69556928,7.6,0
JAWA TENGAH,Jepara,21944232,7.44,0
JAWA TENGAH,Demak,18856416,12.92,0
JAWA TENGAH,Semarang,35946100,7.82,0
JAWA TENGAH,Temanggung,15387930,10.17,0
JAWA TENGAH,Kendal,31632276,10.24,0
JAWA TENGAH,Batang,15764266,9.68,0
JAWA TENGAH,Pekalongan,16615066,10.57,0
JAWA TENGAH,Pemalang,18916262,16.56,0
JAWA TENGAH,Tegal,25402911,8.6,0
JAWA TENGAH,Brebes,33456328,17.43,0
JAWA TENGAH,Kota Magelang,6513895,7.75,0
JAWA TENGAH,Kota Surakarta,36211248,9.4,0
JAWA TENGAH,Kota Salatiga,9820287,5.14,0
JAWA TENGAH,Kota Semarang,144710663,4.56,0
JAWA TENGAH,Kota Pekalongan,7601486,7.59,0
JAWA TENGAH,Kota Tegal,11290269,8.12,0
D I YOGYAKARTA,Kulon Progo,8778800,18.38,2
D I YOGYAKARTA,Bantul,19773332,14.04,0
D I YOGYAKARTA,Gunung Kidul,14216362,17.69,0
D I YOGYAKARTA,Sleman,35786977,8.64,0
D I YOGYAKARTA,Kota Yogyakarta,28390085,7.69,0
JAWA TIMUR,Pacitan,11107402,15.11,0
JAWA TIMUR,Ponorogo,14619969,10.26,0
JAWA TIMUR,Trenggalek,12959018,12.14,0
JAWA TIMUR,Tulungagung,27390424,7.51,0
JAWA TIMUR,Blitar,25700019,9.65,0
JAWA TIMUR,Kediri,29361672,11.64,0
JAWA TIMUR,Malang,68619103,10.5,0
JAWA TIMUR,Lumajang,22623402,10.05,0
JAWA TIMUR,Jember,54688719,10.41,0
JAWA TIMUR,Banyuwangi,55471065,8.07,0
JAWA TIMUR,Bondowoso,13921654,14.73,0
JAWA TIMUR,Situbondo,13715834,12.63,0
JAWA TIMUR,Probolinggo,23664388,18.91,2
JAWA TIMUR,Pasuruan,107630268,9.7,0
JAWA TIMUR,Sidoarjo,141000359,5.93,0
JAWA TIMUR,Mojokerto,60198699,10.62,0
JAWA TIMUR,Jombang,28553448,10.0,0
JAWA TIMUR,Nganjuk,18640685,11.85,0
JAWA TIMUR,Madiun,13372330,11.91,0
JAWA TIMUR,Magetan,13417032,10.66,0
JAWA TIMUR,Ngawi,13823456,15.57,0
JAWA TIMUR,Bojonegoro,65839509,13.27,0
JAWA TIMUR,Tuban,43984689,16.31,0
JAWA TIMUR,Lamongan,27896543,13.86,0
JAWA TIMUR,Gresik,101318686,12.42,0
JAWA TIMUR,Bangkalan,17152779,21.57,2
