Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
ACEH,Simeulue,5.71,18.98,0
ACEH,Aceh Singkil,8.36,20.36,2
ACEH,Aceh Selatan,6.46,13.18,0
ACEH,Aceh Tenggara,6.43,13.41,0
ACEH,Aceh Timur,7.13,14.45,2
ACEH,Aceh Tengah,2.61,15.26,0
ACEH,Aceh Barat,7.09,18.81,2
ACEH,Aceh Besar,7.7,14.05,2
ACEH,Pidie,7.28,19.59,2
ACEH,Bireuen,4.32,13.25,0
ACEH,Aceh Utara,8.31,17.43,2
ACEH,Aceh Barat Daya,4.04,16.34,0
ACEH,Gayo Lues,1.84,19.64,1
ACEH,Aceh Tamiang,5.87,13.34,0
ACEH,Nagan Raya,4.99,18.23,0
ACEH,Aceh Jaya,3.47,13.23,0
ACEH,Bener Meriah,1.24,19.16,1
ACEH,Pidie Jaya,3.57,19.55,0
ACEH,Kota Banda Aceh,8.94,7.61,2
ACEH,Kota Sabang,3.56,15.32,0
ACEH,Kota Langsa,7.21,10.96,2
ACEH,Kota Lhokseumawe,11.16,11.16,2
ACEH,Kota Subulussalam,6.26,17.65,0
SUMATERA UTARA,Nias,3.12,16.82,0
SUMATERA UTARA,Mandailing Natal,6.12,9.49,0
SUMATERA UTARA,Tapanuli Selatan,4.0,8.8,0
SUMATERA UTARA,Tapanuli Tengah,7.24,12.67,2
SUMATERA UTARA,Tapanuli Utara,1.54,9.72,0
SUMATERA UTARA,Toba Samosir,0.83,8.99,0
SUMATERA UTARA,Labuhan Batu,5.66,8.74,0
SUMATERA UTARA,Asahan,6.39,9.35,2
SUMATERA UTARA,Simalungun,4.17,8.81,0
SUMATERA UTARA,Dairi,1.49,8.31,0
SUMATERA UTARA,Karo,1.95,8.79,0
SUMATERA UTARA,Deli Serdang,9.13,4.01,2
SUMATERA UTARA,Langkat,5.12,10.12,0
SUMATERA UTARA,Nias Selatan,3.91,16.92,0
SUMATERA UTARA,Humbang Hasundutan,1.94,9.65,0
SUMATERA UTARA,Pakpak Bharat,1.36,9.35,0
SUMATERA UTARA,Samosir,0.7,12.68,0
SUMATERA UTARA,Serdang Bedagai,3.93,8.3,0
SUMATERA UTARA,Batu Bara,6.62,12.38,2
SUMATERA UTARA,Padang Lawas Utara,3.19,9.92,0
SUMATERA UTARA,Padang Lawas,4.07,8.69,0
SUMATERA UTARA,Labuhan Batu Selatan,4.71,8.53,0
SUMATERA UTARA,Labuhan Batu Utara,5.74,10.02,0
SUMATERA UTARA,Nias Utara,3.0,25.66,1
SUMATERA UTARA,Nias Barat,0.74,26.42,1
SUMATERA UTARA,Kota Sibolga,8.72,12.33,2
SUMATERA UTARA,Kota Tanjung Balai,6.59,13.4,2
SUMATERA UTARA,Kota Pematang Siantar,11.0,8.52,2
SUMATERA UTARA,Kota Tebing Tinggi,8.37,10.3,2
SUMATERA UTARA,Kota Medan,10.81,8.34,2
SUMATERA UTARA,Kota Binjai,7.86,5.81,2
SUMATERA UTARA,Kota Padangsidimpuan,7.18,7.53,2
SUMATERA UTARA,Kota Gunungsitoli,4.8,16.45,0
SUMATERA BARAT,Kepulauan Mentawai,2.79,14.84,0
SUMATERA BARAT,Pesisir Selatan,5.97,7.92,0
SUMATERA BARAT,Solok,4.67,8.01,0
SUMATERA BARAT,Sijunjung,3.57,6.8,0
SUMATERA BARAT,Tanah Datar,4.63,4.54,0
SUMATERA BARAT,Padang Pariaman,8.41,7.22,2
SUMATERA BARAT,Agam,5.06,6.85,0
SUMATERA BARAT,Lima Puluh Kota,2.25,7.29,0
SUMATERA BARAT,Pasaman,4.92,7.48,0
SUMATERA BARAT,Solok Selatan,4.84,7.52,0
SUMATERA BARAT,Dharmasraya,5.0,6.67,0
SUMATERA BARAT,Pasaman Barat,5.02,7.51,0
SUMATERA BARAT,Kota Padang,13.37,4.94,2
SUMATERA BARAT,Kota Solok,5.15,3.12,0
SUMATERA BARAT,Kota Sawah Lunto,6.38,2.38,2
SUMATERA BARAT,Kota Padang Panjang,4.9,5.92,0
SUMATERA BARAT,Kota Bukittinggi,6.09,5.14,2
SUMATERA BARAT,Kota Payakumbuh,6.47,6.16,2
SUMATERA BARAT,Kota Pariaman,6.09,4.38,2
RIAU,Kuantan Singingi,2.06,8.97,0
RIAU,Indragiri Hulu,3.32,6.18,0
RIAU,Indragiri Hilir,2.66,6.18,0
RIAU,Pelalawan,2.34,9.63,0
RIAU,Siak,4.34,5.18,0
RIAU,Kampar,4.27,7.82,0
RIAU,Rokan Hulu,2.25,10.4,0
RIAU,Bengkalis,6.63,6.64,2
RIAU,Rokan Hilir,3.25,7.18,0
RIAU,Kepulauan Meranti,4.43,25.68,1
RIAU,Kota Pekanbaru,8.29,2.83,2
RIAU,Kota Dumai,6.29,3.42,2
JAMBI,Kerinci,2.32,7.71,0
JAMBI,Merangin,4.83,9.11,0
JAMBI,Sarolangun,5.52,8.87,0
JAMBI,Batang Hari,4.26,10.05,0
JAMBI,Muaro Jambi,5.59,4.53,0
JAMBI,Tanjung Jabung Timur,1.56,11.39,0
JAMBI,Tanjung Jabung Barat,2.53,10.75,0
JAMBI,Tebo,2.83,6.68,0
JAMBI,Bungo,5.86,6.23,0
JAMBI,Kota Jambi,10.66,9.02,2
JAMBI,Kota Sungai Penuh,3.0,3.41,0
SUMATERA SELATAN,Ogan Komering Ulu,4.57,12.62,0
SUMATERA SELATAN,Ogan Komering Ilir,3.01,14.68,0
SUMATERA SELATAN,Muara Enim,5.03,12.32,0
SUMATERA SELATAN,Lahat,3.6,16.46,0
SUMATERA SELATAN,Musi Rawas,2.78,13.89,0
SUMATERA SELATAN,Musi Banyuasin,3.99,15.84,0
SUMATERA SELATAN,Banyu Asin,3.84,10.75,0
SUMATERA SELATAN,Ogan Komering Ulu Selatan,3.23,11.12,0
SUMATERA SELATAN,Ogan Komering Ulu Timur,3.18,10.6,0
SUMATERA SELATAN,Ogan Ilir,3.07,13.82,0
SUMATERA SELATAN,Empat Lawang,2.41,13.35,0
SUMATERA SELATAN,Penukal Abab Lematang Ilir,3.61,12.91,0
SUMATERA SELATAN,Musi Rawas Utara,6.72,20.11,0
SUMATERA SELATAN,Kota Palembang,10.11,11.34,2
SUMATERA SELATAN,Kota Prabumulih,5.86,12.2,0
