Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Klaster
ACEH,Simeulue,1648096,5.71,18.98,71.56,0
ACEH,Aceh Singkil,1780419,8.36,20.36,69.56,0
ACEH,Aceh Selatan,4345784,6.46,13.18,62.55,0
ACEH,Aceh Tenggara,3487157,6.43,13.41,62.71,0
ACEH,Aceh Timur,8433526,7.13,14.45,66.75,0
ACEH,Aceh Tengah,5953118,2.61,15.26,90.58,0
ACEH,Aceh Barat,7485861,7.09,18.81,89.6,0
ACEH,Aceh Besar,10261585,7.7,14.05,87.4,0
ACEH,Pidie,7975099,7.28,19.59,54.1,0
ACEH,Bireuen,10374480,4.32,13.25,81.89,0
ACEH,Aceh Utara,16924103,8.31,17.43,79.97,0
ACEH,Aceh Barat Daya,3069805,4.04,16.34,65.71,0
ACEH,Gayo Lues,1981879,1.84,19.64,47.63,1
ACEH,Aceh Tamiang,6062520,5.87,13.34,87.45,0
ACEH,Nagan Raya,7110421,4.99,18.23,74.86,0
ACEH,Aceh Jaya,2033844,3.47,13.23,81.6,0
ACEH,Bener Meriah,3744095,1.24,19.16,86.69,0
ACEH,Pidie Jaya,2635517,3.57,19.55,74.3,0
ACEH,Kota Banda Aceh,15454371,8.94,7.61,99.88,2
ACEH,Kota Sabang,1152875,3.56,15.32,92.25,0
ACEH,Kota Langsa,3974614,7.21,10.96,91.81,0
ACEH,Kota Lhokseumawe,7252905,11.16,11.16,93.1,2
ACEH,Kota Subulussalam,1438997,6.26,17.65,69.71,0
SUMATERA UTARA,Nias,2666855,3.12,16.82,19.93,1
SUMATERA UTARA,Mandailing Natal,9585899,6.12,9.49,35.73,0
SUMATERA UTARA,Tapanuli Selatan,10036712,4.0,8.8,46.41,0
SUMATERA UTARA,Tapanuli Tengah,7149285,7.24,12.67,57.56,0
SUMATERA UTARA,Tapanuli Utara,6058350,1.54,9.72,83.79,0
SUMATERA UTARA,Toba Samosir,5649103,0.83,8.99,89.54,0
SUMATERA UTARA,Labuhan Batu,24147560,5.66,8.74,81.5,0
SUMATERA UTARA,Asahan,27279586,6.39,9.35,89.09,0
SUMATERA UTARA,Simalungun,28648781,4.17,8.81,91.75,0
SUMATERA UTARA,Dairi,6641674,1.49,8.31,92.35,0
SUMATERA UTARA,Karo,14582333,1.95,8.79,84.33,0
SUMATERA UTARA,Deli Serdang,72173623,9.13,4.01,96.37,2
SUMATERA UTARA,Langkat,30247389,5.12,10.12,80.76,0
SUMATERA UTARA,Nias Selatan,4332626,3.91,16.92,13.14,1
SUMATERA UTARA,Humbang Hasundutan,4219138,1.94,9.65,91.65,0
SUMATERA UTARA,Pakpak Bharat,872403,1.36,9.35,90.14,0
SUMATERA UTARA,Samosir,3162101,0.7,12.68,91.09,0
SUMATERA UTARA,Serdang Bedagai,19863243,3.93,8.3,93.19,0
SUMATERA UTARA,Batu Bara,24486056,6.62,12.38,88.04,0
SUMATERA UTARA,Padang Lawas Utara,8593639,3.19,9.92,67.17,0
SUMATERA UTARA,Padang Lawas,8362135,4.07,8.69,59.62,0
SUMATERA UTARA,Labuhan Batu Selatan,19620408,4.71,8.53,84.85,0
SUMATERA UTARA,Labuhan Batu Utara,17969257,5.74,10.02,79.75,0
SUMATERA UTARA,Nias Utara,2417196,3.0,25.66,46.09,1
SUMATERA UTARA,Nias Barat,1285664,0.74,26.42,38.02,1
SUMATERA UTARA,Kota Sibolga,3595704,8.72,12.33,32.33,0
SUMATERA UTARA,Kota Tanjung Balai,5898808,6.59,13.4,89.07,0
SUMATERA UTARA,Kota Pematang Siantar,9547698,11.0,8.52,88.49,2
SUMATERA UTARA,Kota Tebing Tinggi,4024777,8.37,10.3,95.88,0
SUMATERA UTARA,Kota Medan,157689187,10.81,8.34,92.71,2
SUMATERA UTARA,Kota Binjai,8162776,7.86,5.81,95.21,0
SUMATERA UTARA,Kota Padangsidimpuan,4346777,7.18,7.53,51.33,0
SUMATERA UTARA,Kota Gunungsitoli,3519128,4.8,16.45,45.13,1
SUMATERA BARAT,Kepulauan Mentawai,3041549,2.79,14.84,71.05,0
SUMATERA BARAT,Pesisir Selatan,9790360,5.97,7.92,71.4,0
SUMATERA BARAT,Solok,10119822,4.67,8.01,47.63,0
SUMATERA BARAT,Sijunjung,6893214,3.57,6.8,72.63,0
SUMATERA BARAT,Tanah Datar,9891020,4.63,4.54,53.73,0
SUMATERA BARAT,Padang Pariaman,12199848,8.41,7.22,55.86,0
SUMATERA BARAT,Agam,14939509,5.06,6.85,77.25,0
SUMATERA BARAT,Lima Puluh Kota,11430548,2.25,7.29,55.69,0
SUMATERA BARAT,Pasaman,6330067,4.92,7.48,45.26,0
SUMATERA BARAT,Solok Selatan,4059515,4.84,7.52,58.57,0
SUMATERA BARAT,Dharmasraya,7709700,5.0,6.67,82.71,0
SUMATERA BARAT,Pasaman Barat,11682234,5.02,7.51,70.28,0
SUMATERA BARAT,Kota Padang,45227957,13.37,4.94,80.13,2
SUMATERA BARAT,Kota Solok,2936828,5.15,3.12,91.4,0
SUMATERA BARAT,Kota Sawah Lunto,2829590,6.38,2.38,86.45,0
SUMATERA BARAT,Kota Padang Panjang,2631518,4.9,5.92,73.04,0
SUMATERA BARAT,Kota Bukittinggi,6263130,6.09,5.14,89.93,0
SUMATERA BARAT,Kota Payakumbuh,4571927,6.47,6.16,89.49,0
SUMATERA BARAT,Kota Pariaman,3669629,6.09,4.38,79.56,0
RIAU,Kuantan Singingi,24689509,2.06,8.97,87.98,0
RIAU,Indragiri Hulu,31176538,3.32,6.18,82.82,0
RIAU,Indragiri Hilir,46921264,2.66,6.18,49.64,0
RIAU,Pelalawan,36538811,2.34,9.63,81.13,0
RIAU,Siak,54543286,4.34,5.18,95.41,0
