Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Rata-rata Lama Sekolah Penduduk 15+ (Tahun),Klaster
ACEH,Simeulue,1648096,5.71,18.98,66.41,71.56,87.45,9.48,0
ACEH,Aceh Singkil,1780419,8.36,20.36,69.22,69.56,78.58,8.68,0
ACEH,Aceh Selatan,4345784,6.46,13.18,67.44,62.55,79.65,8.88,0
ACEH,Aceh Tenggara,3487157,6.43,13.41,69.44,62.71,86.71,9.67,0
ACEH,Aceh Timur,8433526,7.13,14.45,67.83,66.75,83.16,8.21,0
ACEH,Aceh Tengah,5953118,2.61,15.26,73.37,90.58,90.1,9.86,0
ACEH,Aceh Barat,7485861,7.09,18.81,71.67,89.6,94.22,9.55,0
ACEH,Aceh Besar,10261585,7.7,14.05,73.58,87.4,82.36,10.33,1
ACEH,Pidie,7975099,7.28,19.59,70.7,54.1,89.24,9.0,0
ACEH,Bireuen,10374480,4.32,13.25,72.33,81.89,93.53,9.29,0
ACEH,Aceh Utara,16924103,8.31,17.43,69.46,79.97,91.09,8.64,0
ACEH,Aceh Barat Daya,3069805,4.04,16.34,66.99,65.71,95.34,8.67,0
ACEH,Gayo Lues,1981879,1.84,19.64,67.56,47.63,84.68,8.4,0
ACEH,Aceh Tamiang,6062520,5.87,13.34,69.48,87.45,83.12,8.91,0
ACEH,Nagan Raya,7110421,4.99,18.23,69.31,74.86,90.13,8.69,0
ACEH,Aceh Jaya,2033844,3.47,13.23,69.84,81.6,86.36,8.71,0
ACEH,Bener Meriah,3744095,1.24,19.16,73.27,86.69,89.71,10.0,0
ACEH,Pidie Jaya,2635517,3.57,19.55,73.6,74.3,93.46,9.34,0
ACEH,Kota Banda Aceh,15454371,8.94,7.61,85.71,99.88,99.37,12.83,1
ACEH,Kota Sabang,1152875,3.56,15.32,76.11,92.25,96.18,11.18,1
ACEH,Kota Langsa,3974614,7.21,10.96,77.44,91.81,97.14,11.12,1
ACEH,Kota Lhokseumawe,7252905,11.16,11.16,77.57,93.1,94.44,11.11,1
ACEH,Kota Subulussalam,1438997,6.26,17.65,65.27,69.71,60.87,8.03,0
