Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Rata-rata Lama Sekolah Penduduk 15+ (Tahun),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),Umur Harapan Hidup (Tahun),Tingkat Partisipasi Angkatan Kerja,Klaster
ACEH,Simeulue,1648096,5.71,18.98,66.41,71.56,87.45,9.48,7148,65.28,71.15,1
ACEH,Aceh Singkil,1780419,8.36,20.36,69.22,69.56,78.58,8.68,8776,67.43,62.85,1
ACEH,Aceh Selatan,4345784,6.46,13.18,67.44,62.55,79.65,8.88,8180,64.4,60.85,1
ACEH,Aceh Tenggara,3487157,6.43,13.41,69.44,62.71,86.71,9.67,8030,68.22,69.62,1
ACEH,Aceh Timur,8433526,7.13,14.45,67.83,66.75,83.16,8.21,8577,68.74,59.48,1
ACEH,Aceh Tengah,5953118,2.61,15.26,73.37,90.58,90.1,9.86,10780,68.86,76.3,1
ACEH,Aceh Barat,7485861,7.09,18.81,71.67,89.6,94.22,9.55,9593,67.99,60.05,1
ACEH,Aceh Besar,10261585,7.7,14.05,73.58,87.4,82.36,10.33,9644,69.79,61.67,1
ACEH,Pidie,7975099,7.28,19.59,70.7,54.1,89.24,9.0,9860,66.95,60.29,1
ACEH,Bireuen,10374480,4.32,13.25,72.33,81.89,93.53,9.29,8867,71.26,65.91,1
ACEH,Aceh Utara,16924103,8.31,17.43,69.46,79.97,91.09,8.64,8201,68.81,58.47,1
ACEH,Aceh Barat Daya,3069805,4.04,16.34,66.99,65.71,95.34,8.67,8428,65.06,57.91,1
ACEH,Gayo Lues,1981879,1.84,19.64,67.56,47.63,84.68,8.4,8856,65.53,78.99,1
ACEH,Aceh Tamiang,6062520,5.87,13.34,69.48,87.45,83.12,8.91,8367,69.63,66.43,1
ACEH,Nagan Raya,7110421,4.99,18.23,69.31,74.86,90.13,8.69,8292,69.24,64.99,1
ACEH,Aceh Jaya,2033844,3.47,13.23,69.84,81.6,86.36,8.71,9666,67.19,72.59,1
ACEH,Bener Meriah,3744095,1.24,19.16,73.27,86.69,89.71,10.0,11118,69.26,77.53,1
ACEH,Pidie Jaya,2635517,3.57,19.55,73.6,74.3,93.46,9.34,10290,70.18,57.77,1
ACEH,Kota Banda Aceh,15454371,8.94,7.61,85.71,99.88,99.37,12.83,16891,71.52,63.0,0
ACEH,Kota Sabang,1152875,3.56,15.32,76.11,92.25,96.18,11.18,11378,70.56,63.71,0
ACEH,Kota Langsa,3974614,7.21,10.96,77.44,91.81,97.14,11.12,12067,69.43,67.04,0
ACEH,Kota Lhokseumawe,7252905,11.16,11.16,77.57,93.1,94.44,11.11,11390,71.64,63.91,0
ACEH,Kota Subulussalam,1438997,6.26,17.65,65.27,69.71,60.87,8.03,7385,64.07,63.78,1
SUMATERA UTARA,Nias,2666855,3.12,16.82,62.74,19.93,47.79,5.64,6995,69.78,81.79,2
SUMATERA UTARA,Mandailing Natal,9585899,6.12,9.49,67.19,35.73,73.78,8.63,9771,62.65,69.79,1
SUMATERA UTARA,Tapanuli Selatan,10036712,4.0,8.8,70.33,46.41,67.39,9.29,11304,64.97,74.38,1
SUMATERA UTARA,Tapanuli Tengah,7149285,7.24,12.67,69.61,57.56,68.81,8.84,10138,67.24,75.05,1
SUMATERA UTARA,Tapanuli Utara,6058350,1.54,9.72,73.76,83.79,89.06,9.99,11710,68.76,82.63,1
SUMATERA UTARA,Toba Samosir,5649103,0.83,8.99,75.39,89.54,95.04,10.57,12224,70.29,80.38,1
SUMATERA UTARA,Labuhan Batu,24147560,5.66,8.74,72.09,81.5,94.34,9.25,11212,69.95,61.84,1
SUMATERA UTARA,Asahan,27279586,6.39,9.35,70.49,89.09,95.78,8.8,11030,68.37,63.02,1
SUMATERA UTARA,Simalungun,28648781,4.17,8.81,73.4,91.75,99.74,9.61,11376,71.37,72.55,1
SUMATERA UTARA,Dairi,6641674,1.49,8.31,71.84,92.35,91.9,9.59,10504,69.19,85.73,1
SUMATERA UTARA,Karo,14582333,1.95,8.79,74.83,84.33,91.43,10.0,12412,71.58,84.56,1
SUMATERA UTARA,Deli Serdang,72173623,9.13,4.01,75.53,96.37,98.18,10.1,12291,71.77,66.78,0
SUMATERA UTARA,Langkat,30247389,5.12,10.12,71.35,80.76,92.51,8.66,11142,68.97,69.12,1
SUMATERA UTARA,Nias Selatan,4332626,3.91,16.92,62.35,13.14,66.21,6.06,7041,68.86,72.25,2
SUMATERA UTARA,Humbang Hasundutan,4219138,1.94,9.65,69.41,91.65,91.95,9.71,8016,69.51,84.17,1
SUMATERA UTARA,Pakpak Bharat,872403,1.36,9.35,67.94,90.14,70.69,9.14,8254,65.96,87.7,1
SUMATERA UTARA,Samosir,3162101,0.7,12.68,70.83,91.09,65.64,9.44,8504,71.41,84.38,1
SUMATERA UTARA,Serdang Bedagai,19863243,3.93,8.3,70.56,93.19,98.14,8.69,11017,68.82,66.75,1
SUMATERA UTARA,Batu Bara,24486056,6.62,12.38,68.58,88.04,97.83,8.07,10539,67.13,70.0,1
SUMATERA UTARA,Padang Lawas Utara,8593639,3.19,9.92,70.11,67.17,77.58,9.38,10055,67.22,76.82,1
SUMATERA UTARA,Padang Lawas,8362135,4.07,8.69,68.64,59.62,77.84,9.02,8921,67.13,75.23,1
SUMATERA UTARA,Labuhan Batu Selatan,19620408,4.71,8.53,71.69,84.85,84.66,8.9,11562,68.81,66.38,1
SUMATERA UTARA,Labuhan Batu Utara,17969257,5.74,10.02,71.87,79.75,86.75,8.41,11840,69.56,65.73,1
SUMATERA UTARA,Nias Utara,2417196,3.0,25.66,62.82,46.09,58.17,6.77,6155,69.55,74.27,2
SUMATERA UTARA,Nias Barat,1285664,0.74,26.42,61.99,38.02,71.52,6.69,5924,69.08,82.08,2
SUMATERA UTARA,Kota Sibolga,3595704,8.72,12.33,73.94,32.33,92.4,10.41,11540,69.25,71.19,1
SUMATERA UTARA,Kota Tanjung Balai,5898808,6.59,13.4,68.94,89.07,87.2,9.45,11225,63.44,66.57,1
SUMATERA UTARA,Kota Pematang Siantar,9547698,11.0,8.52,79.17,88.49,99.78,11.29,12436,73.77,68.8,0
SUMATERA UTARA,Kota Tebing Tinggi,4024777,8.37,10.3,75.42,95.88,99.35,10.44,12939,70.95,67.19,0
SUMATERA UTARA,Kota Medan,157689187,10.81,8.34,81.21,92.71,98.8,11.48,14999,73.23,62.16,0
SUMATERA UTARA,Kota Binjai,8162776,7.86,5.81,76.01,95.21,99.76,10.94,11063,72.45,62.77,0
SUMATERA UTARA,Kota Padangsidimpuan,4346777,7.18,7.53,75.48,51.33,54.13,11.09,10965,69.5,68.69,1
SUMATERA UTARA,Kota Gunungsitoli,3519128,4.8,16.45,69.61,45.13,74.11,8.62,8134,71.32,62.95,1
SUMATERA BARAT,Kepulauan Mentawai,3041549,2.79,14.84,61.35,71.05,55.46,7.2,6321,64.73,82.57,2
SUMATERA BARAT,Pesisir Selatan,9790360,5.97,7.92,70.03,71.4,76.23,8.27,9270,70.96,66.59,1
SUMATERA BARAT,Solok,10119822,4.67,8.01,69.24,47.63,78.09,7.87,10215,68.79,71.21,1
SUMATERA BARAT,Sijunjung,6893214,3.57,6.8,67.86,72.63,64.12,8.12,10389,66.36,70.06,1
SUMATERA BARAT,Tanah Datar,9891020,4.63,4.54,72.46,53.73,86.5,8.62,10616,70.12,66.88,1
SUMATERA BARAT,Padang Pariaman,12199848,8.41,7.22,70.76,55.86,86.09,7.88,11050,68.97,64.64,1
SUMATERA BARAT,Agam,14939509,5.06,6.85,72.57,77.25,87.46,8.97,9662,72.53,66.49,1
SUMATERA BARAT,Lima Puluh Kota,11430548,2.25,7.29,69.68,55.69,68.93,8.07,9668,69.84,71.33,1
SUMATERA BARAT,Pasaman,6330067,4.92,7.48,66.77,45.26,82.57,8.1,8440,67.59,69.35,1
SUMATERA BARAT,Solok Selatan,4059515,4.84,7.52,69.23,58.57,81.01,8.32,10367,68.01,72.11,1
SUMATERA BARAT,Dharmasraya,7709700,5.0,6.67,71.76,82.71,70.27,8.55,11324,71.53,73.04,1
SUMATERA BARAT,Pasaman Barat,11682234,5.02,7.51,68.76,70.28,81.47,8.27,9089,67.94,66.93,1
SUMATERA BARAT,Kota Padang,45227957,13.37,4.94,82.9,80.13,95.52,11.59,14540,73.69,63.78,0
SUMATERA BARAT,Kota Solok,2936828,5.15,3.12,78.41,91.4,96.55,11.04,12168,73.73,66.51,0
SUMATERA BARAT,Kota Sawah Lunto,2829590,6.38,2.38,72.88,86.45,88.27,10.32,10195,70.1,68.05,1
SUMATERA BARAT,Kota Padang Panjang,2631518,4.9,5.92,77.97,73.04,98.45,11.63,10754,72.82,65.94,0
SUMATERA BARAT,Kota Bukittinggi,6263130,6.09,5.14,80.7,89.93,97.05,11.34,13331,74.5,67.42,0
SUMATERA BARAT,Kota Payakumbuh,4571927,6.47,6.16,79.08,89.49,99.43,10.81,13317,73.84,71.73,0
SUMATERA BARAT,Kota Pariaman,3669629,6.09,4.38,77.07,79.56,97.69,10.67,12818,70.38,62.7,0
RIAU,Kuantan Singingi,24689509,2.06,8.97,70.6,87.98,85.78,8.75,10309,68.6,67.02,1
RIAU,Indragiri Hulu,31176538,3.32,6.18,70.01,82.82,64.84,8.39,10260,70.26,68.45,1
RIAU,Indragiri Hilir,46921264,2.66,6.18,66.63,49.64,89.6,7.24,9945,67.98,68.56,1
RIAU,Pelalawan,36538811,2.34,9.63,72.08,81.13,83.61,8.7,11672,71.24,69.18,1
RIAU,Siak,54543286,4.34,5.18,73.98,95.41,93.13,9.86,11807,71.13,64.69,0
RIAU,Kampar,53196375,4.27,7.82,73.02,89.62,90.41,9.27,10858,70.83,63.06,1
RIAU,Rokan Hulu,26752468,2.25,10.4,69.67,88.85,92.17,8.54,9406,70.18,66.5,1
RIAU,Bengkalis,74229737,6.63,6.64,73.58,90.34,93.26,9.7,11415,71.24,66.76,0
RIAU,Rokan Hilir,46761280,3.25,7.18,69.34,73.94,87.52,8.26,9417,70.39,60.74,1
RIAU,Kepulauan Meranti,13008808,4.43,25.68,65.7,55.98,88.69,7.84,7780,67.78,65.6,1
RIAU,Kota Pekanbaru,72619083,8.29,2.83,81.58,96.28,98.76,11.92,14360,72.41,61.61,0
RIAU,Kota Dumai,26068578,6.29,3.42,74.75,97.03,92.86,10.14,11818,70.98,64.91,0
JAMBI,Kerinci,6844238,2.32,7.71,71.45,66.32,74.59,8.56,10184,70.0,70.9,1
JAMBI,Merangin,10371678,4.83,9.11,69.53,71.07,68.91,7.9,10380,71.29,69.85,1
JAMBI,Sarolangun,11397733,5.52,8.87,70.25,76.03,69.96,8.04,11792,69.21,64.86,1
JAMBI,Batang Hari,12221193,4.26,10.05,70.11,79.68,73.08,8.12,10032,70.64,68.81,1
JAMBI,Muaro Jambi,16847013,5.59,4.53,69.55,89.17,80.66,8.58,8825,71.32,62.78,1
JAMBI,Tanjung Jabung Timur,17284926,1.56,11.39,64.91,70.27,85.91,6.92,9163,66.34,71.22,1
JAMBI,Tanjung Jabung Barat,30976199,2.53,10.75,68.16,81.89,91.76,8.0,9699,68.17,73.89,1
JAMBI,Tebo,10597493,2.83,6.68,69.35,83.38,69.97,7.59,10546,70.02,70.65,1
JAMBI,Bungo,13133523,5.86,6.23,70.15,77.58,73.63,8.28,11670,67.83,63.58,1
JAMBI,Kota Jambi,19515486,10.66,9.02,79.12,93.22,95.83,11.2,12240,72.71,63.12,0
JAMBI,Kota Sungai Penuh,4768840,3.0,3.41,75.7,74.04,90.55,10.33,10454,72.21,64.92,1
SUMATERA SELATAN,Ogan Komering Ulu,10114558,4.57,12.62,69.6,82.72,81.78,8.71,10040,68.24,69.96,1
SUMATERA SELATAN,Ogan Komering Ilir,20909479,3.01,14.68,67.17,68.09,79.02,7.05,10755,68.67,69.68,1
SUMATERA SELATAN,Muara Enim,43987266,5.03,12.32,68.86,84.35,89.48,7.8,10995,69.02,69.57,1
SUMATERA SELATAN,Lahat,13002365,3.6,16.46,67.58,70.44,81.67,8.52,9735,66.16,69.54,1
SUMATERA SELATAN,Musi Rawas,14032621,2.78,13.89,67.01,69.22,83.15,7.53,9550,68.26,70.53,1
SUMATERA SELATAN,Musi Banyuasin,46128391,3.99,15.84,68.1,71.07,79.37,7.63,10140,68.84,69.18,1
SUMATERA SELATAN,Banyu Asin,20767642,3.84,10.75,67.13,72.2,76.97,7.44,9860,69.06,65.54,1
SUMATERA SELATAN,Ogan Komering Ulu Selatan,5985137,3.23,11.12,65.34,56.2,77.12,7.85,8585,67.07,76.17,1
SUMATERA SELATAN,Ogan Komering Ulu Timur,10551001,3.18,10.6,69.58,83.86,93.32,7.56,11531,69.17,71.31,1
SUMATERA SELATAN,Ogan Ilir,7775123,3.07,13.82,67.17,67.92,72.53,7.87,10454,65.6,68.48,1
SUMATERA SELATAN,Empat Lawang,3605939,2.41,13.35,65.39,51.7,51.87,7.64,9400,65.13,72.3,1
SUMATERA SELATAN,Penukal Abab Lematang Ilir,4819885,3.61,12.91,64.88,94.31,87.49,7.05,8210,68.33,73.13,1
SUMATERA SELATAN,Musi Rawas Utara,5706543,6.72,20.11,64.93,65.9,80.33,7.09,9855,65.76,69.69,1
SUMATERA SELATAN,Kota Palembang,107250192,10.11,11.34,78.72,94.21,97.43,10.75,14704,71.01,63.93,0
SUMATERA SELATAN,Kota Prabumulih,5541968,5.86,12.2,74.67,95.33,93.77,9.97,12752,70.47,69.41,0
SUMATERA SELATAN,Kota Pagar Alam,2332447,1.64,9.4,68.68,58.66,93.16,9.4,8877,66.85,74.2,1
SUMATERA SELATAN,Kota Lubuklinggau,4470232,6.27,13.23,74.89,85.5,96.1,9.9,13267,69.39,73.6,0
BENGKULU,Bengkulu Selatan,3742506,2.55,18.16,70.75,74.74,58.22,9.27,9916,67.93,73.95,1
BENGKULU,Rejang Lebong,6274229,2.45,15.85,70.77,71.5,65.07,8.33,10323,68.75,76.09,1
BENGKULU,Bengkulu Utara,5425357,3.51,11.61,69.28,81.36,53.11,8.09,10410,68.27,67.62,1
BENGKULU,Kaur,2333305,3.45,18.62,67.17,78.63,86.2,8.38,8638,66.73,69.28,1
BENGKULU,Seluma,2932955,3.44,18.72,67.03,84.29,47.04,8.0,8256,67.9,70.13,1
BENGKULU,Mukomuko,3429923,3.68,11.93,68.64,86.79,75.99,8.3,10405,66.73,64.11,1
BENGKULU,Lebong,2192263,3.18,12.0,67.46,51.55,57.37,8.18,11317,63.4,72.01,1
BENGKULU,Kepahiang,2894350,1.89,14.83,68.62,66.88,62.65,8.29,9377,68.08,75.59,1
BENGKULU,Bengkulu Tengah,2951442,4.07,9.68,67.96,80.23,63.06,7.48,9471,68.19,67.32,1
BENGKULU,Kota Bengkulu,15833195,6.35,17.89,80.54,95.8,92.21,11.8,14108,70.2,65.42,0
LAMPUNG,Lampung Barat,5053324,2.83,12.82,67.9,76.5,70.96,8.07,9969,67.65,83.23,1
LAMPUNG,Tanggamus,10924782,2.93,11.81,66.65,68.96,63.9,7.34,9266,68.67,68.76,1
LAMPUNG,Lampung Selatan,30541213,5.27,14.19,68.49,94.4,87.92,7.7,9931,69.42,66.05,1
LAMPUNG,Lampung Timur,29000404,3.05,15.08,69.66,86.29,84.35,7.77,10026,70.78,68.67,1
LAMPUNG,Lampung Tengah,48710038,4.31,11.99,70.23,79.37,78.9,7.59,11259,69.87,72.26,1
LAMPUNG,Lampung Utara,16727892,6.14,19.63,67.89,75.03,62.78,8.34,8737,69.3,66.7,1
LAMPUNG,Way Kanan,9736500,3.36,13.09,67.57,78.66,65.12,7.71,9173,69.46,74.78,1
LAMPUNG,Tulangbawang,16062917,4.1,9.67,68.73,84.83,80.65,7.55,10735,70.01,68.32,1
LAMPUNG,Pesawaran,11492493,4.19,15.11,66.14,83.73,87.07,7.71,7934,69.15,65.42,1
LAMPUNG,Pringsewu,7870162,4.85,10.11,70.45,88.91,96.68,8.39,10302,70.27,67.03,1
LAMPUNG,Mesuji,7107313,3.42,7.54,64.04,78.98,80.27,7.08,7980,68.26,69.21,1
LAMPUNG,Tulang Bawang Barat,7970781,3.35,8.32,66.22,75.33,42.81,7.39,8422,70.03,72.32,1
LAMPUNG,Pesisir Barat,3133190,3.08,14.81,64.3,76.68,74.53,8.19,8533,63.66,74.62,1
LAMPUNG,Kota Bandar Lampung,39818098,8.85,9.11,77.58,95.45,98.47,10.95,12247,71.42,67.18,0
LAMPUNG,Kota Metro,4358386,5.0,8.93,77.49,94.64,94.53,10.97,11916,71.66,66.71,0
KEP. BANGKA BELITUNG,Bangka,10733700,5.97,4.81,72.46,95.73,64.24,8.25,12424,71.14,62.68,1
KEP. BANGKA BELITUNG,Belitung,6710007,3.51,7.15,72.57,94.57,66.31,8.47,13563,71.1,66.28,1
KEP. BANGKA BELITUNG,Bangka Barat,10331789,3.83,2.75,69.6,89.99,80.18,7.44,12269,70.08,65.98,1
KEP. BANGKA BELITUNG,Bangka Tengah,5986898,4.95,5.13,70.89,92.66,77.33,7.2,12945,71.52,66.24,1
