eps,min_samples,n_clusters,n_noise,noise_pct,silhouette
0.3,3,11,80,15.6,0.00023678462649679493
0.3,5,7,118,23.0,0.18058498670799986
0.3,10,2,202,39.3,0.39946997601228024
0.3,15,1,246,47.9,0.0
0.3,20,1,299,58.2,0.0
0.5,3,4,16,3.1,0.33278900187604593
0.5,5,2,33,6.4,0.4303329461732754
0.5,10,1,62,12.1,0.0
0.5,15,2,104,20.2,0.4845254509498332
0.5,20,1,138,26.8,0.0
0.7,3,3,11,2.1,0.5481780252848338
0.7,5,1,20,3.9,0.0
0.7,10,1,23,4.5,0.0
0.7,15,1,37,7.2,0.0
0.7,20,1,58,11.3,0.0
0.9,3,2,5,1.0,0.7291439417619779
0.9,5,2,9,1.8,0.5315052341164959
0.9,10,1,14,2.7,0.0
0.9,15,1,18,3.5,0.0
0.9,20,1,22,4.3,0.0
1.1,3,3,1,0.2,0.7240240125203434
1.1,5,1,7,1.4,0.0
1.1,10,1,12,2.3,0.0
1.1,15,1,12,2.3,0.0
1.1,20,1,15,2.9,0.0
1.3,3,3,0,0.0,0.7202010182879727
1.3,5,1,6,1.2,0.0
1.3,10,1,7,1.4,0.0
1.3,15,1,8,1.6,0.0
1.3,20,1,11,2.1,0.0
1.5,3,2,0,0.0,0.7792899019872576
1.5,5,1,6,1.2,0.0
1.5,10,1,7,1.4,0.0
1.5,15,1,7,1.4,0.0
1.5,20,1,8,1.6,0.0
1.7,3,1,0,0.0,0.0
1.7,5,1,0,0.0,0.0
1.7,10,1,7,1.4,0.0
1.7,15,1,7,1.4,0.0
1.7,20,1,7,1.4,0.0
1.9,3,1,0,0.0,0.0
1.9,5,1,0,0.0,0.0
1.9,10,1,7,1.4,0.0
1.9,15,1,7,1.4,0.0
1.9,20,1,7,1.4,0.0
2.1,3,1,0,0.0,0.0
2.1,5,1,0,0.0,0.0
2.1,10,1,6,1.2,0.0
2.1,15,1,6,1.2,0.0
2.1,20,1,6,1.2,0.0
2.3,3,1,0,0.0,0.0
2.3,5,1,0,0.0,0.0
2.3,10,1,6,1.2,0.0
2.3,15,1,6,1.2,0.0
2.3,20,1,6,1.2,0.0
2.5,3,1,0,0.0,0.0
2.5,5,1,0,0.0,0.0
2.5,10,1,3,0.6,0.0
2.5,15,1,6,1.2,0.0
2.5,20,1,6,1.2,0.0
2.7,3,1,0,0.0,0.0
2.7,5,1,0,0.0,0.0
2.7,10,1,3,0.6,0.0
2.7,15,1,5,1.0,0.0
2.7,20,1,6,1.2,0.0
2.9,3,1,0,0.0,0.0
2.9,5,1,0,0.0,0.0
2.9,10,1,3,0.6,0.0
2.9,15,1,3,0.6,0.0
2.9,20,1,3,0.6,0.0
