Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
ACEH,Simeulue,1648096,5.71,18.98,0
ACEH,Aceh Singkil,1780419,8.36,20.36,2
ACEH,Aceh Selatan,4345784,6.46,13.18,0
ACEH,Aceh Tenggara,3487157,6.43,13.41,0
ACEH,Aceh Timur,8433526,7.13,14.45,0
ACEH,Aceh Tengah,5953118,2.61,15.26,0
ACEH,Aceh Barat,7485861,7.09,18.81,0
ACEH,Aceh Besar,10261585,7.7,14.05,0
ACEH,Pidie,7975099,7.28,19.59,0
ACEH,Bireuen,10374480,4.32,13.25,0
ACEH,Aceh Utara,16924103,8.31,17.43,0
ACEH,Aceh Barat Daya,3069805,4.04,16.34,0
ACEH,Gayo Lues,1981879,1.84,19.64,0
ACEH,Aceh Tamiang,6062520,5.87,13.34,0
ACEH,Nagan Raya,7110421,4.99,18.23,0
ACEH,Aceh Jaya,2033844,3.47,13.23,0
ACEH,Bener Meriah,3744095,1.24,19.16,0
ACEH,Pidie Jaya,2635517,3.57,19.55,0
ACEH,Kota Banda Aceh,15454371,8.94,7.61,0
ACEH,Kota Sabang,1152875,3.56,15.32,0
ACEH,Kota Langsa,3974614,7.21,10.96,0
ACEH,Kota Lhokseumawe,7252905,11.16,11.16,0
ACEH,Kota Subulussalam,1438997,6.26,17.65,0
SUMATERA UTARA,Nias,2666855,3.12,16.82,0
SUMATERA UTARA,Mandailing Natal,9585899,6.12,9.49,0
SUMATERA UTARA,Tapanuli Selatan,10036712,4.0,8.8,0
SUMATERA UTARA,Tapanuli Tengah,7149285,7.24,12.67,0
SUMATERA UTARA,Tapanuli Utara,6058350,1.54,9.72,0
SUMATERA UTARA,Toba Samosir,5649103,0.83,8.99,0
SUMATERA UTARA,Labuhan Batu,24147560,5.66,8.74,0
SUMATERA UTARA,Asahan,27279586,6.39,9.35,0
SUMATERA UTARA,Simalungun,28648781,4.17,8.81,0
SUMATERA UTARA,Dairi,6641674,1.49,8.31,0
SUMATERA UTARA,Karo,14582333,1.95,8.79,0
SUMATERA UTARA,Deli Serdang,72173623,9.13,4.01,0
SUMATERA UTARA,Langkat,30247389,5.12,10.12,0
SUMATERA UTARA,Nias Selatan,4332626,3.91,16.92,0
SUMATERA UTARA,Humbang Hasundutan,4219138,1.94,9.65,0
SUMATERA UTARA,Pakpak Bharat,872403,1.36,9.35,0
SUMATERA UTARA,Samosir,3162101,0.7,12.68,0
SUMATERA UTARA,Serdang Bedagai,19863243,3.93,8.3,0
SUMATERA UTARA,Batu Bara,24486056,6.62,12.38,0
SUMATERA UTARA,Padang Lawas Utara,8593639,3.19,9.92,0
SUMATERA UTARA,Padang Lawas,8362135,4.07,8.69,0
SUMATERA UTARA,Labuhan Batu Selatan,19620408,4.71,8.53,0
SUMATERA UTARA,Labuhan Batu Utara,17969257,5.74,10.02,0
SUMATERA UTARA,Nias Utara,2417196,3.0,25.66,2
SUMATERA UTARA,Nias Barat,1285664,0.74,26.42,2
SUMATERA UTARA,Kota Sibolga,3595704,8.72,12.33,0
SUMATERA UTARA,Kota Tanjung Balai,5898808,6.59,13.4,0
SUMATERA UTARA,Kota Pematang Siantar,9547698,11.0,8.52,0
SUMATERA UTARA,Kota Tebing Tinggi,4024777,8.37,10.3,0
SUMATERA UTARA,Kota Medan,157689187,10.81,8.34,3
SUMATERA UTARA,Kota Binjai,8162776,7.86,5.81,0
SUMATERA UTARA,Kota Padangsidimpuan,4346777,7.18,7.53,0
SUMATERA UTARA,Kota Gunungsitoli,3519128,4.8,16.45,0
SUMATERA BARAT,Kepulauan Mentawai,3041549,2.79,14.84,0
SUMATERA BARAT,Pesisir Selatan,9790360,5.97,7.92,0
SUMATERA BARAT,Solok,10119822,4.67,8.01,0
SUMATERA BARAT,Sijunjung,6893214,3.57,6.8,0
SUMATERA BARAT,Tanah Datar,9891020,4.63,4.54,0
SUMATERA BARAT,Padang Pariaman,12199848,8.41,7.22,0
SUMATERA BARAT,Agam,14939509,5.06,6.85,0
SUMATERA BARAT,Lima Puluh Kota,11430548,2.25,7.29,0
SUMATERA BARAT,Pasaman,6330067,4.92,7.48,0
SUMATERA BARAT,Solok Selatan,4059515,4.84,7.52,0
SUMATERA BARAT,Dharmasraya,7709700,5.0,6.67,0
SUMATERA BARAT,Pasaman Barat,11682234,5.02,7.51,0
SUMATERA BARAT,Kota Padang,45227957,13.37,4.94,0
SUMATERA BARAT,Kota Solok,2936828,5.15,3.12,0
SUMATERA BARAT,Kota Sawah Lunto,2829590,6.38,2.38,0
SUMATERA BARAT,Kota Padang Panjang,2631518,4.9,5.92,0
SUMATERA BARAT,Kota Bukittinggi,6263130,6.09,5.14,0
SUMATERA BARAT,Kota Payakumbuh,4571927,6.47,6.16,0
SUMATERA BARAT,Kota Pariaman,3669629,6.09,4.38,0
RIAU,Kuantan Singingi,24689509,2.06,8.97,0
RIAU,Indragiri Hulu,31176538,3.32,6.18,0
RIAU,Indragiri Hilir,46921264,2.66,6.18,0
RIAU,Pelalawan,36538811,2.34,9.63,0
RIAU,Siak,54543286,4.34,5.18,0
RIAU,Kampar,53196375,4.27,7.82,0
RIAU,Rokan Hulu,26752468,2.25,10.4,0
RIAU,Bengkalis,74229737,6.63,6.64,0
RIAU,Rokan Hilir,46761280,3.25,7.18,0
RIAU,Kepulauan Meranti,13008808,4.43,25.68,2
RIAU,Kota Pekanbaru,72619083,8.29,2.83,0
RIAU,Kota Dumai,26068578,6.29,3.42,0
JAMBI,Kerinci,6844238,2.32,7.71,0
JAMBI,Merangin,10371678,4.83,9.11,0
JAMBI,Sarolangun,11397733,5.52,8.87,0
JAMBI,Batang Hari,12221193,4.26,10.05,0
JAMBI,Muaro Jambi,16847013,5.59,4.53,0
JAMBI,Tanjung Jabung Timur,17284926,1.56,11.39,0
JAMBI,Tanjung Jabung Barat,30976199,2.53,10.75,0
JAMBI,Tebo,10597493,2.83,6.68,0
JAMBI,Bungo,13133523,5.86,6.23,0
JAMBI,Kota Jambi,19515486,10.66,9.02,0
JAMBI,Kota Sungai Penuh,4768840,3.0,3.41,0
SUMATERA SELATAN,Ogan Komering Ulu,10114558,4.57,12.62,0
SUMATERA SELATAN,Ogan Komering Ilir,20909479,3.01,14.68,0
SUMATERA SELATAN,Muara Enim,43987266,5.03,12.32,0
SUMATERA SELATAN,Lahat,13002365,3.6,16.46,0
SUMATERA SELATAN,Musi Rawas,14032621,2.78,13.89,0
SUMATERA SELATAN,Musi Banyuasin,46128391,3.99,15.84,0
SUMATERA SELATAN,Banyu Asin,20767642,3.84,10.75,0
SUMATERA SELATAN,Ogan Komering Ulu Selatan,5985137,3.23,11.12,0
SUMATERA SELATAN,Ogan Komering Ulu Timur,10551001,3.18,10.6,0
SUMATERA SELATAN,Ogan Ilir,7775123,3.07,13.82,0
SUMATERA SELATAN,Empat Lawang,3605939,2.41,13.35,0
SUMATERA SELATAN,Penukal Abab Lematang Ilir,4819885,3.61,12.91,0
SUMATERA SELATAN,Musi Rawas Utara,5706543,6.72,20.11,0
SUMATERA SELATAN,Kota Palembang,107250192,10.11,11.34,0
SUMATERA SELATAN,Kota Prabumulih,5541968,5.86,12.2,0
SUMATERA SELATAN,Kota Pagar Alam,2332447,1.64,9.4,0
SUMATERA SELATAN,Kota Lubuklinggau,4470232,6.27,13.23,0
BENGKULU,Bengkulu Selatan,3742506,2.55,18.16,0
BENGKULU,Rejang Lebong,6274229,2.45,15.85,0
BENGKULU,Bengkulu Utara,5425357,3.51,11.61,0
BENGKULU,Kaur,2333305,3.45,18.62,0
BENGKULU,Seluma,2932955,3.44,18.72,0
BENGKULU,Mukomuko,3429923,3.68,11.93,0
BENGKULU,Lebong,2192263,3.18,12.0,0
BENGKULU,Kepahiang,2894350,1.89,14.83,0
BENGKULU,Bengkulu Tengah,2951442,4.07,9.68,0
BENGKULU,Kota Bengkulu,15833195,6.35,17.89,0
LAMPUNG,Lampung Barat,5053324,2.83,12.82,0
LAMPUNG,Tanggamus,10924782,2.93,11.81,0
LAMPUNG,Lampung Selatan,30541213,5.27,14.19,0
LAMPUNG,Lampung Timur,29000404,3.05,15.08,0
LAMPUNG,Lampung Tengah,48710038,4.31,11.99,0
LAMPUNG,Lampung Utara,16727892,6.14,19.63,0
LAMPUNG,Way Kanan,9736500,3.36,13.09,0
LAMPUNG,Tulangbawang,16062917,4.1,9.67,0
LAMPUNG,Pesawaran,11492493,4.19,15.11,0
LAMPUNG,Pringsewu,7870162,4.85,10.11,0
LAMPUNG,Mesuji,7107313,3.42,7.54,0
LAMPUNG,Tulang Bawang Barat,7970781,3.35,8.32,0
LAMPUNG,Pesisir Barat,3133190,3.08,14.81,0
LAMPUNG,Kota Bandar Lampung,39818098,8.85,9.11,0
LAMPUNG,Kota Metro,4358386,5.0,8.93,0
KEP. BANGKA BELITUNG,Bangka,10733700,5.97,4.81,0
KEP. BANGKA BELITUNG,Belitung,6710007,3.51,7.15,0
KEP. BANGKA BELITUNG,Bangka Barat,10331789,3.83,2.75,0
KEP. BANGKA BELITUNG,Bangka Tengah,5986898,4.95,5.13,0
KEP. BANGKA BELITUNG,Bangka Selatan,6275555,5.29,3.69,0
KEP. BANGKA BELITUNG,Belitung Timur,5713650,3.78,7.2,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,9611883,6.81,4.76,0
KEPULAUAN RIAU,Karimun,9332771,7.2,6.85,0
KEPULAUAN RIAU,Bintan,13933491,8.62,6.42,0
KEPULAUAN RIAU,Natuna,14645400,5.15,4.95,0
KEPULAUAN RIAU,Lingga,2971547,4.23,13.93,0
KEPULAUAN RIAU,Kepulauan Anambas,11108487,1.27,7.09,0
KEPULAUAN RIAU,Kota Batam,111068955,11.64,5.05,3
KEPULAUAN RIAU,Kota Tanjung Pinang,14020211,6.31,9.57,0
DKI JAKARTA,Kepulauan Seribu,3649179,8.58,15.06,0
DKI JAKARTA,Kota Jakarta Selatan,429398830,7.33,3.56,1
DKI JAKARTA,Kota Jakarta Timur,313842135,8.23,4.28,1
DKI JAKARTA,Kota Jakarta Pusat,460081046,7.75,4.94,1
DKI JAKARTA,Kota Jakarta Barat,327622101,9.06,4.31,1
DKI JAKARTA,Kota Jakarta Utara,330894597,9.84,7.24,1
JAWA BARAT,Bogor,159582645,12.22,8.13,3
JAWA BARAT,Sukabumi,47933519,9.51,7.7,0
JAWA BARAT,Cianjur,32897517,9.32,11.18,0
JAWA BARAT,Bandung,83947149,8.32,7.15,0
JAWA BARAT,Garut,39981191,8.68,10.65,0
JAWA BARAT,Tasikmalaya,25179475,6.16,11.15,0
JAWA BARAT,Ciamis,22774934,5.06,7.97,0
JAWA BARAT,Kuningan,17483024,11.68,13.1,0
JAWA BARAT,Cirebon,34128554,10.38,12.3,0
JAWA BARAT,Majalengka,22788754,5.71,12.33,0
JAWA BARAT,Sumedang,24414663,9.18,10.71,0
JAWA BARAT,Indramayu,59544866,8.3,13.04,0
JAWA BARAT,Subang,29023194,9.77,10.03,0
JAWA BARAT,Purwakarta,46840149,10.7,8.83,0
JAWA BARAT,Karawang,166941492,11.83,8.95,3
JAWA BARAT,Bekasi,251828575,10.09,5.21,1
JAWA BARAT,Bandung Barat,31701786,11.65,11.3,0
JAWA BARAT,Pangandaran,8022781,3.25,9.65,0
JAWA BARAT,Kota Bogor,33372476,11.79,7.24,0
JAWA BARAT,Kota Sukabumi,8851051,10.78,8.25,0
JAWA BARAT,Kota Bandung,200414035,11.46,4.37,3
JAWA BARAT,Kota Cirebon,17154552,10.53,10.03,0
JAWA BARAT,Kota Bekasi,69796936,10.88,4.74,0
JAWA BARAT,Kota Depok,49946927,9.76,2.58,0
JAWA BARAT,Kota Cimahi,23275779,13.07,5.35,0
JAWA BARAT,Kota Tasikmalaya,15981251,7.66,13.13,0
JAWA BARAT,Kota Banjar,3364261,6.09,7.11,0
JAWA TENGAH,Cilacap,91944588,9.97,11.67,0
JAWA TENGAH,Banyumas,40686808,6.05,13.66,0
JAWA TENGAH,Purbalingga,17731438,6.05,16.24,0
JAWA TENGAH,Banjarnegara,15536478,5.86,16.23,0
JAWA TENGAH,Kebumen,20253059,6.03,17.83,0
JAWA TENGAH,Purworejo,13582556,3.59,12.4,0
JAWA TENGAH,Wonosobo,14064765,5.26,17.67,0
JAWA TENGAH,Magelang,23661713,5.03,11.91,0
JAWA TENGAH,Boyolali,23447366,5.09,10.62,0
JAWA TENGAH,Klaten,28531109,5.48,13.49,0
JAWA TENGAH,Sukoharjo,27634118,3.32,8.23,0
JAWA TENGAH,Wonogiri,21251004,2.43,11.55,0
JAWA TENGAH,Karanganyar,27034108,5.89,10.68,0
JAWA TENGAH,Sragen,27355146,4.76,13.83,0
JAWA TENGAH,Grobogan,20115534,4.38,12.74,0
JAWA TENGAH,Blora,18126447,3.81,12.39,0
JAWA TENGAH,Rembang,13925516,3.67,15.8,0
JAWA TENGAH,Pati,31559079,4.6,10.21,0
JAWA TENGAH,Kudus,69556928,3.77,7.6,0
JAWA TENGAH,Jepara,21944232,4.23,7.44,0
JAWA TENGAH,Demak,18856416,5.28,12.92,0
JAWA TENGAH,Semarang,35946100,5.02,7.82,0
JAWA TENGAH,Temanggung,15387930,2.62,10.17,0
JAWA TENGAH,Kendal,31632276,7.55,10.24,0
JAWA TENGAH,Batang,15764266,6.59,9.68,0
JAWA TENGAH,Pekalongan,16615066,4.28,10.57,0
JAWA TENGAH,Pemalang,18916262,6.71,16.56,0
JAWA TENGAH,Tegal,25402911,9.97,8.6,0
JAWA TENGAH,Brebes,33456328,9.78,17.43,0
JAWA TENGAH,Kota Magelang,6513895,8.73,7.75,0
