Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Klaster
ACEH,Simeulue,0.9489661517920794,0.05091989932473558,0.00011394888318492113,0
ACEH,Aceh Singkil,0.9595387051928235,0.040376935474951775,8.435933222448224e-05,0
ACEH,Aceh Selatan,0.776795664464221,0.2168321917676625,0.006372143768116459,0
ACEH,Aceh Tenggara,0.8201989031200431,0.17428908934579934,0.005512007534157665,0
ACEH,Aceh Timur,0.0027517789418917455,0.9833701437453937,0.013878077312714794,1
ACEH,Aceh Tengah,0.3384556835365395,0.6592417348397304,0.0023025816237300383,1
ACEH,Aceh Barat,0.042128117863627995,0.9566535101461294,0.001218371990242945,1
ACEH,Aceh Besar,4.911669263826772e-06,0.9825338685768668,0.01746121975386935,1
ACEH,Pidie,0.0115212369732048,0.9878010182084037,0.0006777448183913494,1
ACEH,Bireuen,1.7141658609366675e-06,0.9938140282224192,0.006184257611719939,1
ACEH,Aceh Utara,2.9095926821569897e-24,0.9979031234414112,0.002096876558588832,1
ACEH,Aceh Barat Daya,0.9150051463582666,0.08461488508684958,0.0003799685548838302,0
ACEH,Gayo Lues,0.9707033979593119,0.029273137279349506,2.346476133848367e-05,0
ACEH,Aceh Tamiang,0.3695409290839534,0.6206101995805986,0.009848871335448034,1
ACEH,Nagan Raya,0.08532568739524671,0.9136107820207209,0.0010635305840324839,1
ACEH,Aceh Jaya,0.7337379166302577,0.26331508493784095,0.0029469984319015125,0
ACEH,Bener Meriah,0.9429002255471108,0.05705092198983541,4.885246305388527e-05,0
ACEH,Pidie Jaya,0.9744327994440543,0.025546486095525126,2.0714460420603863e-05,0
ACEH,Kota Banda Aceh,1.0298103468595541e-16,0.9000583706853037,0.09994162931469619,1
ACEH,Kota Sabang,0.7217493729164555,0.2760383518411628,0.002212275242381831,0
ACEH,Kota Langsa,0.7349769647406468,0.24491293801791117,0.020110097241442058,0
ACEH,Kota Lhokseumawe,0.030689745548355355,0.47025821995109013,0.49905203450055474,2
ACEH,Kota Subulussalam,0.8849345636978148,0.11430119234252098,0.0007642439596642733,0
SUMATERA UTARA,Nias,0.9235297484702994,0.07622515952182969,0.00024509200787081764,0
SUMATERA UTARA,Mandailing Natal,0.00015068681025060337,0.9780228730558173,0.021826440133932277,1
SUMATERA UTARA,Tapanuli Selatan,2.083070387938763e-05,0.9925809328731533,0.007398236422967346,1
SUMATERA UTARA,Tapanuli Tengah,0.0773103802862563,0.8926338354754421,0.030055784238301648,1
SUMATERA UTARA,Tapanuli Utara,0.207236199504817,0.7894055325991448,0.0033582678960379893,1
SUMATERA UTARA,Toba Samosir,0.27324109473670977,0.7244667917939909,0.0022921134692993283,1
SUMATERA UTARA,Labuhan Batu,2.148193907642411e-53,0.9660654044280877,0.033934595571912335,1
SUMATERA UTARA,Asahan,3.4671339687497795e-71,0.931035271567408,0.06896472843259208,1
