Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Klaster
ACEH,Simeulue,0.03721626070311489,1.531925389204798e-45,0.001390630379935511,0.9613931089169496,3
ACEH,Aceh Singkil,0.003983092784351724,2.8125503811155823e-36,0.002703807433327439,0.9933130997823205,3
ACEH,Aceh Selatan,0.1601802469642433,7.7355577216432905e-25,0.03003224681052972,0.809787506225227,3
ACEH,Aceh Tenggara,0.11055332404273,1.365352348452492e-25,0.023531028008932867,0.8659156479483372,3
ACEH,Aceh Timur,0.8594276942885831,6.606050803780266e-24,0.1396167458118889,0.0009555598995279574,0
ACEH,Aceh Tengah,0.9071722268552346,5.8562830169594404e-52,0.0088660652183578,0.08396170792640753,0
ACEH,Aceh Barat,0.9291644397544756,4.1064128457395314e-36,0.04051086707776633,0.03032469316775773,0
ACEH,Aceh Besar,0.774601672966706,1.8426798423197833e-20,0.2253976207328918,7.063004022247434e-07,0
ACEH,Pidie,0.9587276513347115,1.1935065864320737e-37,0.03371143089112349,0.007560917774164997,0
ACEH,Bireuen,0.9815107398166341,1.2527400422233602e-35,0.01848924159667079,1.8586695153044006e-08,0
ACEH,Aceh Utara,0.8598508928183701,5.388406673020626e-26,0.14014910718162962,4.749295801749796e-28,0
ACEH,Aceh Barat Daya,0.12700520925174918,7.839673108970161e-47,0.0021750482483535558,0.8708197424998972,3
ACEH,Gayo Lues,0.04014660327592732,1.8562372481368736e-74,0.00016888035735677305,0.9596845163667159,3
ACEH,Aceh Tamiang,0.7232494122990547,1.3229434694875171e-27,0.052203239740416435,0.2245473479605289,0
ACEH,Nagan Raya,0.9737783781335306,2.9292708964432334e-46,0.008381054605058526,0.01784056726141108,0
ACEH,Aceh Jaya,0.35402425662948406,4.3609857662498125e-41,0.009516290256748475,0.6364594531137675,3
ACEH,Bener Meriah,0.10116845307277841,9.73047476773778e-77,0.0004338560537925264,0.8983976908734291,3
ACEH,Pidie Jaya,0.039673513606484315,1.5734757721402128e-61,0.00020774689439594462,0.9601187394991197,3
ACEH,Kota Banda Aceh,0.2894079466406102,9.349445512343312e-07,0.7105911184148386,8.61386385998192e-20,2
ACEH,Kota Sabang,0.34966864608881326,2.9067915491735694e-46,0.008742236543039024,0.6415891173681477,3
ACEH,Kota Langsa,0.10804338679712186,2.7551828169262877e-17,0.06763952285604985,0.8243170903468283,3
ACEH,Kota Lhokseumawe,0.002358495387414469,2.196279276055391e-05,0.978824388564207,0.01879515325561822,2
ACEH,Kota Subulussalam,0.06493617616977428,9.520610798338833e-38,0.0075007282966496145,0.9275630955335762,3
SUMATERA UTARA,Nias,0.12117251121217568,2.143307421904223e-54,0.0013445126316528118,0.8774829761561715,3
SUMATERA UTARA,Mandailing Natal,0.923517777379462,4.2859536826698846e-19,0.07647345672293548,8.76589760264372e-06,0
SUMATERA UTARA,Tapanuli Selatan,0.9803754328107498,2.8490343041123866e-28,0.019624327575730054,2.3961352016021175e-07,0
SUMATERA UTARA,Tapanuli Tengah,0.722082335268213,1.3553220248453553e-19,0.22224888204370202,0.05566878268808501,0
SUMATERA UTARA,Tapanuli Utara,0.9445522623154755,1.7650740460749372e-44,0.014139445947977908,0.04130829173654671,0
SUMATERA UTARA,Toba Samosir,0.9023917203496808,1.4118498655469688e-47,0.014947884647837624,0.0826603950024814,0
SUMATERA UTARA,Labuhan Batu,0.6202549159828337,9.90227881771232e-19,0.37974508401716656,7.514763886757616e-65,0
SUMATERA UTARA,Asahan,0.2727809436078484,2.7620368249453577e-16,0.7272190563921513,6.166661526220926e-86,2
SUMATERA UTARA,Simalungun,0.2128792744208585,4.866032478637355e-25,0.7871207255791413,5.972890309021904e-98,2
SUMATERA UTARA,Dairi,0.9746309687162604,6.12622862229526e-42,0.012891066031844861,0.012477965251894856,0
SUMATERA UTARA,Karo,0.9672698766872277,3.23709255302028e-39,0.03273012331277208,1.761942687034493e-20,0
SUMATERA UTARA,Deli Serdang,1.4630834655303237e-20,0.0027184867772023285,0.997281513222798,0.0,2
SUMATERA UTARA,Langkat,0.12411430022639455,1.2707717854335326e-22,0.8758856997736053,8.526713716538525e-111,2
SUMATERA UTARA,Nias Selatan,0.23694822882631553,2.847592324740954e-49,0.0026038288395168834,0.7604479423341675,3
SUMATERA UTARA,Humbang Hasundutan,0.6061218922713867,4.461820580932861e-42,0.00913376372508224,0.38474434400353086,0
SUMATERA UTARA,Pakpak Bharat,0.8413125058914882,4.8639791435571456e-45,0.016668388779816416,0.14201910532869558,0
