Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Prob_Klaster_4,Prob_Klaster_5,Klaster
ACEH,Simeulue,0.0022242026566174334,0.0005669909769889672,7.646842149115392e-46,0.9343924925935827,0.06281631350470557,2.6810531096450615e-10,3
ACEH,Aceh Singkil,0.002588691524981995,3.0160827755348047e-10,1.2072107514253993e-36,0.020827977085961666,0.9765833310864466,1.0015260004682351e-12,4
ACEH,Aceh Selatan,0.038665008612364445,0.0015480466593937488,6.936654741121876e-25,0.9007317579762298,0.05698615467272079,0.002069032079291195,3
ACEH,Aceh Tenggara,0.02492788764810947,0.0007205623890734193,9.816750011422764e-26,0.9416447463880829,0.03204330402451558,0.0006634995502186553,3
ACEH,Aceh Timur,0.10696837850089867,0.0007374941481265673,3.2530555313194996e-24,2.3192838461385755e-05,0.89042376089072,0.001847173621793225,4
ACEH,Aceh Tengah,0.001076720678180946,0.9922285852717248,2.201127884866866e-53,0.00636271072119457,0.00032068728020659534,1.1296048693112615e-05,1
ACEH,Aceh Barat,0.007704543285468014,6.888106897517303e-05,3.283229687568537e-37,0.00016476461747149383,0.9920617913636077,1.966447756978653e-08,4
ACEH,Aceh Besar,0.10802409284222443,5.415830663541484e-05,6.259156004283738e-21,9.857177985177561e-10,0.8887387539328813,0.0031829939325411427,4
ACEH,Pidie,0.0039840021776623895,1.7995373671352903e-05,5.745237787255006e-39,1.1796114249049337e-05,0.9959862045443351,1.790082085613434e-09,4
ACEH,Bireuen,0.009340370381105849,0.9599405349400325,3.318519604126628e-36,1.092894345672164e-10,0.020205802453967702,0.010513292115604414,1
ACEH,Aceh Utara,0.04355566141328381,8.139052313264657e-07,1.0193328674914485e-26,8.374508989290063e-37,0.9564306948682385,1.2829813246226295e-05,4
ACEH,Aceh Barat Daya,0.0010935082645071648,0.10115754653505438,1.3200531682691281e-47,0.8965893181246138,0.0011593531376812279,2.7393814343492677e-07,3
ACEH,Gayo Lues,0.00011271289670908927,0.0840468508221061,1.5264254814825607e-75,0.9157700557846717,7.038049223800334e-05,4.275186999438967e-12,3
