Model,Klaster,Valid,Noise,Silhouette,DBI,Calinski_Harabasz,Dunn_Index,Gap_Statistic
DBSCAN tuned (eps=1.5),2,2,0,0.7792899019872576,0.21635149234265502,89.57231575614833,0.18192463809791393,0.9142187221493643
Spectral K=3,3,3,0,0.7087446919318997,0.41819220177416433,85.97927307652688,0.1580838550281596,0.8549535052308652
Mean Shift (auto),4,4,0,0.5436867294153404,0.4775902998840109,85.12589316184388,0.03568571612527958,0.8091721078599408
Spectral K=4,4,4,0,0.5058426067361095,0.4951539277725996,129.41983150893793,0.028472914452570598,0.9692616931534355
Agglomerative Ward K=3,3,3,0,0.47236330926432163,0.8744826524272238,257.4750362837487,0.025455823239528556,1.2618937036067548
Agglomerative Complete K=4,4,4,0,0.45419486632948,0.6112991528917552,207.2656064644629,0.058353199194343966,1.2003644516734164
Agglomerative Ward K=4,4,4,0,0.4525898102581054,0.6928847075941525,321.4291397939034,0.0549452782877296,1.464732743725535
K-Means K=4,4,4,0,0.43186928320840084,0.752055451559928,386.45924441228846,0.02021481861863337,1.5890089183330236
DBSCAN default (eps=0.5),3,2,33,0.4303329461732754,0.45292428903523135,19.887740808925017,0.07642838833067345,1.120472287943648
K-Means K=3,3,3,0,0.3291136761405788,0.889971805206415,268.21805715467457,0.01888067794623135,1.2826200024852445
GMM K=3,3,3,0,0.18068418537180655,1.3681346621963073,165.44066370325774,0.011825587689410133,1.0641584042617351
GMM K=4,4,4,0,0.15830584193827407,1.435314457493106,163.44314489013183,0.00295268430209144,1.076887356589448
