Rank,Algoritma,Parameter,Klaster,Silhouette,DBI
1,DBSCAN,"tuned (eps=1.5, min=3)",2,0.7793,0.2164
2,Spectral,"K=3, rbf",3,0.7087,0.4182
3,Mean Shift,auto (bw=1.40),4,0.5437,0.4776
4,Spectral,"K=4, rbf",4,0.5058,0.4952
5,Agglomerative (ward),K=3,3,0.4724,0.8745
6,Agglomerative (complete),K=4,4,0.4542,0.6113
7,Agglomerative (ward),K=4,4,0.4526,0.6929
8,K-Means++,K=4,4,0.4319,0.7521
9,DBSCAN,"default (eps=0.5, min=5)",2,0.4303,0.4529
10,K-Means++,K=3,3,0.3291,0.8900
11,GMM,"K=4, full",4,0.1583,1.4353
12,GMM,K=6 (auto-BIC),6,0.1317,1.3899
13,GMM,"K=3, full",3,0.1160,1.8562
14,OPTICS,"default (min=5, xi=0.05)",1,N/A,N/A
15,OPTICS,"tuned (min=10, xi=0.1)",1,N/A,N/A
16,OPTICS,"tuned (min=15, xi=0.3)",1,N/A,N/A
